,"@FIXME: "
"Configurable Product Settings","Thiết lập sản phẩm cấu hình"
"Configurable Product Settings","Thiết lập sản phẩm cấu hình"
"Configure Product","Cấu hình sản phẩm"
"Configure Product","Cấu hình sản phẩm"
Continue,"Tiếp tục"
Continue,"Tiếp tục"
"(Copy data from: %s)","(Sao chép dữ liệu từ: %s)"
"(Copy data from: %s)","(Sao chép dữ liệu từ: %s)"
"(Copy data from: %s)","(Sao chép dữ liệu từ: %s)"
"Copy From Configurable","Sao chép từ sản phẩm cấu hình"
"Copy From Configurable","Sao chép từ sản phẩm cấu hình"
Country/State,"Quốc gia/Bang"
Country/State,"Quốc gia/Bang"
"Create attribute set based on another set","Tạo nhóm thuộc tính dựa trên nhóm khác"
"Create attribute set based on another set","Tạo nhóm thuộc tính dựa trên nhóm khác"
Create,"Tạo mới"
"Create Empty","Tạo rỗng"
"Create Empty","Tạo rỗng"
"Create new attribute","Tạo thuộc tính mới"
"Create new attribute","Tạo thuộc tính mới"
"Create new category","Tạo nhóm sản phẩm mới"
"Create new category","Tạo nhóm sản phẩm mới"
"Create new product","Tạo sản phẩm mới"
"Create new product","Tạo sản phẩm mới"
"Create Permanent Redirect for old URL","Tạo chuyển hướng cố định cho URL cũ"
"Create Permanent Redirect for old URL","Tạo chuyển hướng cố định cho URL cũ"
"Create Permanent Redirect for URLs if URL Key Changed","Tạo chuyển hướng cố định cho các URL khi khóa URL thay đổi"
"Create Permanent Redirect for URLs if URL Key Changed","Tạo chuyển hướng cố định cho các URL khi khóa URL thay đổi"
"Create Product Settings","Tạo các thiết lập sản phẩm"
"Create Product Settings","Tạo các thiết lập sản phẩm"
"Create Simple Associated Product","Tạo sản phẩm liên quan đơn giản"
"Create Simple Associated Product","Tạo sản phẩm liên quan đơn giản"
Create,"Tạo mới"
"Create (Upload)","Tạo mới (Tải lên)"
"Create (Upload)","Tạo mới (Tải lên)"
Cross-sells,"Bán thêm sản phẩm liên quan (cross-sells)"
Cross-sells,"Bán thêm sản phẩm liên quan (cross-sells)"
"Currently Shopping by:","Quý khách hiện đang mua sắm theo:"
"Currently Shopping by","@FIXME: Mua hàng ngay bằng"
"Currently Shopping by:","Quý khách hiện đang mua sắm theo:"
"Custom Design","Tùy chỉnh thiết kế"
"Custom Design","Tùy chỉnh thiết kế"
"Customer Group","Nhóm khách hàng"
"Customer Group","Nhóm khách hàng"
"Customers for alert %s was successfuly added to queue",@TODO
"Customers Reviews","Các nhận xét của khách hàng"
"Customers Reviews","Các nhận xét của khách hàng"
"Customers Tagged Product","Sản phẩm được khách hàng gán thẻ"
"Customers Tagged Product","Sản phẩm được khách hàng gán thẻ"
"Custom options","Tùy chỉnh các tùy chọn"
"Custom Options","Tùy chỉnh các tùy chọn"
"Custom options","Tùy chỉnh các tùy chọn"
"Custom Options","Tùy chỉnh các tùy chọn"
"Data Type for Saving in Database","Loại dữ liệu được lưu trong cơ sở dữ liệu"
"Data Type for Saving in Database","Loại dữ liệu được lưu trong cơ sở dữ liệu"
Date,"@FIXME: ngày"
"Date fields order","@FIXME: Ngày lĩnh vực đặt hàng"
"Date Fields Order","Thứ tự các trường ngày (?)"
"Date Fields Order","Thứ tự các trường ngày (?)"
"Date Subscribed","Ngày đăng ký"
"Date Subscribed","Ngày đăng ký"
"Date & Time Custom Options","Ngày và giờ tùy chỉnh các tùy chọn"
"Date & Time Custom Options","Ngày và giờ tùy chỉnh các tùy chọn"
Datetime,"Ngày giờ"
Datetime,"Ngày giờ"
(%d),@TODO
(%d),@TODO
Decimal,"Số thập phân"
"Decimal Number","@FIXME: Số thập phân"
Decimal,"Số thập phân"
"Declare attribute value saving scope","Khai báo phạm vi lưu giá trị thuộc tính"
"Declare attribute value saving scope","Khai báo phạm vi lưu giá trị thuộc tính"
"Default Popup Text Message","Tin nhắn văn bản popup mặc định"
"Default Popup Text Message","Tin nhắn văn bản popup mặc định"
"Default price","@FIXME: giá mặc định"
"Default Price","Giá mặc định"
"Default Price","Giá mặc định"
"Default Price Navigation Step","Bước điều hướng giá mặc định"
"Default Price Navigation Step","Bước điều hướng giá mặc định"
"Default Qty","Số lượng mặc định"
"Default Qty","Số lượng mặc định"
"Default value","@FIXME: giá trị mặc định"
"Default Values","Các giá trị mặc định"
"Default Values","Các giá trị mặc định"
"Default ""What's This"" Text Message","Tin nhắn văn bản ""Đây là gì"" mặc định"
"Default ""What's This"" Text Message","Tin nhắn văn bản ""Đây là gì"" mặc định"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Xác định phạm vi đồng tiền cơ bản (""Thiết lập tiền tệ"" > ""Tùy chọn tiền tệ"" > ""Đồng tiền cơ bản"")."
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Xác định phạm vi đồng tiền cơ bản (""Thiết lập tiền tệ"" > ""Tùy chọn tiền tệ"" > ""Đồng tiền cơ bản"")."
"Delete attribute","Xóa thuộc tính"
"Delete Attribute","Xóa thuộc tính"
"Delete Attribute Set","Xóa nhóm thuộc tính"
"Delete Attribute Set","Xóa nhóm thuộc tính"
"Delete attribute","Xóa thuộc tính"
"Delete Attribute","Xóa thuộc tính"
"Delete category","Xóa nhóm sản phẩm"
"Delete Category","Xóa nhóm sản phẩm"
"Delete category","Xóa nhóm sản phẩm"
"Delete Category","Xóa nhóm sản phẩm"
Delete,Xóa
"Delete Group Price","Xóa nhóm giá"
"Delete Group Price","Xóa nhóm giá"
"Delete Option","Xóa tùy chọn"
"Delete Option","Xóa tùy chọn"
"Delete product","Xóa nhóm sản phẩm"
"Delete product","Xóa nhóm sản phẩm"
"Delete Row","Xóa dòng"
"Delete Row","Xóa dòng"
"Delete Search","Xóa tìm kiếm"
"Delete Search","Xóa tìm kiếm"
"Delete Selected Group","Xóa nhóm được chọn"
"Delete Selected Group","Xóa nhóm được chọn"
"Delete Tier","Xóa mức (giá)"
"Delete Tier","Xóa mức (giá)"
Delete,Xóa
"Depends on design theme","Phụ thuộc vào theme thiết kế"
"Depends on design theme","Phụ thuộc vào theme thiết kế"
Description,"@FIXME: miêu tả"
Design,"Thiết kế"
Design,"Thiết kế"
Details,"Các chi tiết"
Details,"Các chi tiết"
Disabled,"Đã được vô hiệu"
Disabled,"Đã được vô hiệu"
"Disallowed file type.","Loại tập tin không cho phép."
"Disallowed file type.","Loại tập tin không cho phép."
"Display Actual Price","Hiển thị giá thực tế"
"Display Actual Price","Hiển thị giá thực tế"
"Display in Suggested Terms","Xuất hiện trong các từ khóa được đề nghị"
"Display in Suggested Terms","Xuất hiện trong các từ khóa được đề nghị"
"Display Page Control","@FIXME: Hiển thị Trang điều khiển"
"Display Price Interval as One Price","Hiển thị các khoảng giá như một giá"
"Display Price Interval as One Price","Hiển thị các khoảng giá như một giá"
"Display Product Count","Hiển thị đếm sản phẩm"
"Display Product Count","Hiển thị đếm sản phẩm"
"Display Type","@FIXME: Loại màn hình"
"Double click on above image to view full picture","Bấm đúp trên hình ảnh để xem hình ảnh kích thước thật"
"Double click on above image to view full picture","Bấm đúp trên hình ảnh để xem hình ảnh kích thước thật"
"Double click on a group to rename it","Bấm đúp trên nhóm để đổi tên nó"
"Double click on a group to rename it","Bấm đúp trên nhóm để đổi tên nó"
"Downloadable Information","Thông tin có thể tải xuống"
"Downloadable Information","Thông tin có thể tải xuống"
Dropdown,"@FIXME: thả xuống"
"Duplicate amount found.","@FIXME: Nhân đôi số lượng được tìm thấy."
Duplicate,"Bản sao"
Duplicate,"Bản sao"
"Duplicate website, country and state tax found.","Bản sao thuế website, quốc gia và bang được tìm thấy."
"Duplicate website, country and state tax found.","Bản sao thuế website, quốc gia và bang được tìm thấy."
"Duplicate website group price customer group.","Bản sao website nhóm khách hàng, nhóm giá."
"Duplicate website group price customer group.","Bản sao website nhóm khách hàng, nhóm giá."
"Duplicate website tier price customer group and quantity.","Bản sao mức giá, số lượng và nhóm khách hàng."
"Duplicate website tier price customer group and quantity.","Bản sao mức giá, số lượng và nhóm khách hàng."
"//Được dịch bởi Nguyễn Thái Sơn"," STC"
each,mỗi
each,mỗi
"Edit Attribute Set '%s'","Sửa nhóm thuộc tính '%s'"
"Edit Attribute Set '%s'","Sửa nhóm thuộc tính '%s'"
Edit,Sửa
"Edit Product Attribute","Sửa thuộc tính sản phẩm"
"Edit Product Attribute ""%s""","Sửa thuộc tính sản phẩm ""%s"""
"Edit Product Attribute ""%s""","Sửa thuộc tính sản phẩm ""%s"""
"Edit Product Attribute","Sửa thuộc tính sản phẩm"
"Edit Search","Sửa tìm kiếm"
"Edit Search '%s'","Sửa tìm kiếm '%s'"
"Edit Search '%s'","Sửa tìm kiếm '%s'"
"Edit Search","Sửa tìm kiếm"
"Edit Set Name","Sửa tên nhóm"
"Edit Set Name","Sửa tên nhóm"
Edit,Sửa
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Ví dụ: {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Phân tích đường dẫn động tác động mạnh đến hiệu suất danh mục."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Ví dụ: {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Phân tích đường dẫn động tác động mạnh đến hiệu suất danh mục."
Email,"Thư điện tử"
"//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com","@FIXME: // Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com"
Email,"Thư điện tử"
"Email to a Friend","Gửi thư điện tử tới bạn bè"
"Email to a Friend","Gửi thư điện tử tới bạn bè"
Empty,Rỗng
Empty,Rỗng
Enabled,"Đã được kích hoạt"
Enabled,"Đã được kích hoạt"
"Enable for reindexing a big number of SKUs.","@FIXME: Kích hoạt tính năng cho reindexing một số lượng lớn các SKU."
"Enable MAP","Kích hoạt MAP"
"Enable MAP","Kích hoạt MAP"
"Enable Qty Increments","Kích hoạt tăng số lượng"
"Enable Qty Increments","Kích hoạt tăng số lượng"
"Enable WYSIWYG","Kích hoạt WYSIWYG"
"Enable WYSIWYG","Kích hoạt WYSIWYG"
"Error during retrieval of option value: %s","Lỗi trong khi thu hồi giá trị tùy chọn: %s"
"Error during retrieval of option value: %s","Lỗi trong khi thu hồi giá trị tùy chọn: %s"
"Error while adding customers for %s alert. Message: %s",@TODO
"Error while saving this group. Group with the same name already exists.","@FIXME: Lỗi trong khi tiết kiệm nhóm này. Nhóm có cùng tên đã tồn tại."
"Error while saving this group. Please try again later.","@FIXME: Lỗi trong khi tiết kiệm nhóm này. Vui lòng thử lại sau."
Exclude,"Loại trừ"
Exclude,"Loại trừ"
"ex. http://domain.com","ví dụ: http://domain.com"
"ex. http://domain.com","ví dụ: http://domain.com"
"Expand All","Mở rộng"
"Expand All","Mở rộng"
Failed,"Thất bại"
Failed,"Thất bại"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Sao chép tập tin %s thất bại. Xin xóa truyền thông không có hình ảnh và thử lại."
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Sao chép tập tin %s thất bại. Xin xóa truyền thông không có hình ảnh và thử lại."
"Failed to move file: %s","Di chuyển tập tin %s thất bại"
"Failed to move file: %s","Di chuyển tập tin %s thất bại"
"Feature Products","Tính năng sản phẩm"
"Feature Products","Tính năng sản phẩm"
"Field is not complete","Chưa hoàn thành trường"
"Field is not complete","Chưa hoàn thành trường"
"File options format is not valid.","Định dạng các tùy chọn tập tin không hợp lệ."
"File options format is not valid.","Định dạng các tùy chọn tập tin không hợp lệ."
"File options format is not valid","@FIXME: Định dạng tùy chọn tập tin không hợp lệ"
"File upload failed","Tải lên tập tin thất bại"
"File upload failed","Tải lên tập tin thất bại"
"Filterable (no results)","Có thể lọc (không có kết quả)"
"Filterable (no results)","Có thể lọc (không có kết quả)"
"Filterable (with results)","Có thể lọc (có kết quả)"
"Filterable (with results)","Có thể lọc (có kết quả)"
"Filter model name must be declared.","Phải khai báo tên mô hình bộ lọc."
"Filter model name must be declared","@FIXME: Tên mô hình bộ lọc phải được khai báo"
"Filter model name must be declared.","Phải khai báo tên mô hình bộ lọc."
"Filter must be an object. Please set correct filter.","Bộ lọc phải là một đối tượng. Xin thiết lập bộ lọc chính xác."
"Filter must be an object. Please set correct filter.","Bộ lọc phải là một đối tượng. Xin thiết lập bộ lọc chính xác."
"Filter must be as object. Set correct filter please","@FIXME: Lọc phải làm đối tượng. Thiết lập bộ lọc chính xác xin vui lòng"
"Filters must be as array","@FIXME: Bộ lọc phải là mảng"
"First Name",Tên
"First Name",Tên
Fixed,"Cố định"
Fixed,"Cố định"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.",@TODO
"For internal use.","Để sử dụng nội bộ."
"For internal use.","Để sử dụng nội bộ."
"For internal use. Must be unique with no spaces","@FIXME: Cho sử dụng nội bộ. Phải là duy nhất không có dấu cách"
"For reindex enabled product(s) you need specify store or product","@FIXME: Đối với reindex sản phẩm kích hoạt (s ), bạn cần xác định cửa hàng hoặc sản phẩm"
"For the last time placed.","Đối với lần cuối được đặt."
"For the last time placed.","Đối với lần cuối được đặt."
Frontend,"Giao diện khách hàng"
Frontend,"Giao diện khách hàng"
"Frontend Model","Mô hình giao diện khách hàng"
"Frontend Model","Mô hình giao diện khách hàng"
"Frontend Properties","Các đặc điểm giao diện khách hàng"
"Frontend Properties","Các đặc điểm giao diện khách hàng"
Gallery,"Thư viện ảnh"
Gallery,"Thư viện ảnh"
"General Information","Thông tin chung"
"General Information","Thông tin chung"
"Get full information about attribute with list of options","Nhận thông tin đầy đủ về thuộc tính với danh sách các tùy chọn"
"Get full information about attribute with list of options","Nhận thông tin đầy đủ về thuộc tính với danh sách các tùy chọn"
"Get full information about custom option in product","Nhận thông tin đầy đủ về tùy chọn tùy chỉnh trong sản phẩm"
"Get full information about custom option in product","Nhận thông tin đầy đủ về tùy chọn tùy chỉnh trong sản phẩm"
"Get list of available custom option types","Nhận danh sách các loại tùy chọn tùy chỉnh có sẵn"
"Get list of available custom option types","Nhận danh sách các loại tùy chọn tùy chỉnh có sẵn"
"Get list of non-default attributes by product type and attributes set","Nhận danh sách các thuộc tính phi mặc định bởi loại sản phẩm và nhóm các thuộc tính"
"Get list of non-default attributes by product type and attributes set","Nhận danh sách các thuộc tính phi mặc định bởi loại sản phẩm và nhóm các thuộc tính"
"Get list of possible attribute types","Nhận danh sách các loại thuộc tính có thể"
"Get list of possible attribute types","Nhận danh sách các loại thuộc tính có thể"
"Get special price","Nhận giá đặc biệt"
"Get special price","Nhận giá đặc biệt"
Global,"Toàn hệ thống"
[GLOBAL],@TODO
"Globally Editable","Có thể chỉnh sửa toàn hệ thống"
"Globally Editable","Có thể chỉnh sửa toàn hệ thống"
Global,"Toàn hệ thống"
"Go to Home Page","Đến trang chủ"
"Go to Home Page","Đến trang chủ"
Grid,Lưới
Grid,Lưới
"Group add","Thêm nhóm"
"Group add","Thêm nhóm"
"Grouped Product","Sản phẩm được phân nhóm"
"Grouped Product","Sản phẩm được phân nhóm"
"Group remove","Loại bỏ nhóm"
"Group remove","Loại bỏ nhóm"
Groups,"Các nhóm"
Groups,"Các nhóm"
Home,"Trang chủ"
Home,"Trang chủ"
ID,"@FIXME: ID"
ID,"@FIXME: ID"
"ID: %s",@TODO
"ID: %s",@TODO
"If empty, the Category Name will be used","Nếu để trống, tên nhóm sản phẩm sẽ được sử dụng"
"If empty, the Category Name will be used","Nếu để trống, tên nhóm sản phẩm sẽ được sử dụng"
"If empty, the Product Name will be used","Nếu để trống, tên sản phẩm sẽ được sử dụng"
"If empty, the Product Name will be used","Nếu để trống, tên sản phẩm sẽ được sử dụng"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Nếu Quý khách không xác định một giá trị tùy chọn cho không gian cửa hàng được xác định thì giá trị mặc định (quản trị) sẽ được sử dụng."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Nếu Quý khách không xác định một giá trị tùy chọn cho không gian cửa hàng được xác định thì giá trị mặc định (quản trị) sẽ được sử dụng."
"Image content is not valid base64 data.","Hình ảnh có kiểu dữ liệu base64 không hợp lệ."
"Image content is not valid base64 data.","Hình ảnh có kiểu dữ liệu base64 không hợp lệ."
"Image does not exist.","Hình ảnh không tồn tại"
"Image does not exist.","Hình ảnh không tồn tại"
"Image file not found","@FIXME: Tập tin hình ảnh không tìm thấy"
"Image file was not found.","Hình ảnh không được xác định."
"Image file was not found.","Hình ảnh không được xác định."
Image,"Hình ảnh"
Image,"Hình ảnh"
"Image not exists","@FIXME: Hình ảnh không tồn tại"
"Image not specified.","@FIXME: Hình ảnh không xác định."
"Image type and information need to be specified for each store view.","Thông tin và loại hình ảnh cần được xác định cho mỗi không gian cửa hàng."
"Image type and information need to be specified for each store view.","Thông tin và loại hình ảnh cần được xác định cho mỗi không gian cửa hàng."
"In Cart","Trong giỏ hàng"
"In Cart","Trong giỏ hàng"
"Incl. Tax","Bao gồm thuế"
"Incl. Tax","Bao gồm thuế"
"Indexed category/products association","Liên kết nhóm sản phẩm/ các sản phẩm được lập chỉ mục"
"Indexed category/products association","Liên kết nhóm sản phẩm/ các sản phẩm được lập chỉ mục"
"Index product and categories URL rewrites","Chỉ mục sao chép URL sản phẩm và nhóm sản phẩm"
"Index product and categories URL rewrites","Chỉ mục sao chép URL sản phẩm và nhóm sản phẩm"
"Index product attributes for layered navigation building","Chỉ mục các thuộc tính sản phẩm cho việc xây dựng điều hướng phân lớp"
"Index product attributes for layered navigation building","Chỉ mục các thuộc tính sản phẩm cho việc xây dựng điều hướng phân lớp"
"Index product prices","Chỉ mục giá sản phẩm"
"Index product prices","Chỉ mục giá sản phẩm"
"Info Column Options Wrapper","Gói các tùy chọn cột thông tin"
"Info Column Options Wrapper","Gói các tùy chọn cột thông tin"
Info,"Thông tin"
Info,"Thông tin"
"Input Type","Loại đầu vào"
"Input Type","Loại đầu vào"
"Input Validation for Store Owner","@FIXME: Input Validation cho cửa hàng chủ"
"In stock","Còn hàng"
"In Stock","Còn hàng"
"In stock.","@FIXME: Trong chứng khoán."
"In stock","Còn hàng"
"In Stock","Còn hàng"
Integer,"Số nguyên"
"Integer Number","@FIXME: Integer Số"
Integer,"Số nguyên"
"Interval Division Limit","Hạn chế phân chia quãng"
"Interval Division Limit","Hạn chế phân chia quãng"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Tùy chọn thuộc tính xác định cho thuộc tính %s (%s) không hợp lệ, bỏ qua bản ghi này."
"Invalid attribute option specified for attribute %s (%s), skipping the record",@TODO
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Tùy chọn thuộc tính xác định cho thuộc tính %s (%s) không hợp lệ, bỏ qua bản ghi này."
"Invalid attribute set specified, skipping the record.","Nhóm thuộc tính được xác định không hợp lệ, bỏ qua bản ghi này."
"Invalid attribute set specified, skipping the record","@FIXME: Thiết lập thuộc tính định không hợp lệ, bỏ qua các kỷ lục"
"Invalid attribute set specified, skipping the record.","Nhóm thuộc tính được xác định không hợp lệ, bỏ qua bản ghi này."
"Invalid attribute %s","Thuộc tính %s không hợp lệ"
"Invalid attribute %s","Thuộc tính %s không hợp lệ"
"Invalid block: %s.","Khối không hợp lệ: %s"
"Invalid block: %s",@TODO
"Invalid block: %s.","Khối không hợp lệ: %s"
"Invalid category IDs.","Các ID nhóm hàng hóa không hợp lệ."
"Invalid category IDs.","Các ID nhóm hàng hóa không hợp lệ."
"Invalid category IDs","@FIXME: ID loại không hợp lệ"
"Invalid category.","Nhóm hàng hóa không hợp lệ."
"Invalid category","@FIXME: loại không hợp lệ"
"Invalid category.","Nhóm hàng hóa không hợp lệ."
"Invalid image file type.","Loại tập tin hình ảnh không hợp lệ."
"Invalid image file type","@FIXME: Loại tập tin hình ảnh không hợp lệ"
"Invalid image file type.","Loại tập tin hình ảnh không hợp lệ."
"Invalid image type.","Loại hình ảnh không hợp lệ."
"Invalid image type.","Loại hình ảnh không hợp lệ."
"Invalid option ID specified for %s (%s), skipping the record.","ID tùy chọn xác định cho %s (%s) không hợp lệ, bỏ qua bản ghi này."
"Invalid option id specified for %s (%s), skipping the record",@TODO
"Invalid option ID specified for %s (%s), skipping the record.","ID tùy chọn xác định cho %s (%s) không hợp lệ, bỏ qua bản ghi này."
"Invalid product type specified, skipping the record.","Loại sản phẩm được xác định không hợp lệ, bỏ qua bản ghi này."
"Invalid product type specified, skipping the record","@FIXME: Loại sản phẩm không hợp lệ theo quy định, bỏ qua các kỷ lục"
"Invalid product type specified, skipping the record.","Loại sản phẩm được xác định không hợp lệ, bỏ qua bản ghi này."
"Invalid store specified","Cửa hàng được xác định không hợp lệ"
"Invalid store specified","Cửa hàng được xác định không hợp lệ"
"Invalid store specified, skipping the record.","Cửa hàng được xác định không hợp lệ, bỏ qua bản ghi."
"Invalid store specified, skipping the record.","Cửa hàng được xác định không hợp lệ, bỏ qua bản ghi."
"Invalid store specified, skipping the record","@FIXME: Cửa hàng định không hợp lệ, bỏ qua các kỷ lục"
"Invalid Tier Prices","Các mức giá không hợp lệ"
"Invalid Tier Prices","Các mức giá không hợp lệ"
"Invalid tier prices. The product is not associated to the requested website.","Mức giá không hợp lệ. Sản phẩm không gắn với website yêu cầu."
"Invalid tier prices. The product is not associated to the requested website.","Mức giá không hợp lệ. Sản phẩm không gắn với website yêu cầu."
Inventory,"Sản phẩm tồn kho"
Inventory,"Sản phẩm tồn kho"
"Is Default","Mặc định là"
"Is Default","Mặc định là"
"Is Required","Bắt buộc phải nhập"
"Is Required","Bắt buộc phải nhập"
"Items %s to %s of %s total",@TODO
"Items %s to %s of %s total",@TODO
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Các mặt hàng Quý khách không muốn xuất hiện trong danh mục hoặc kết quả tìm kiếm sẽ có trạng thái 'Đã được vô hiệu' trong cửa hàng mong muốn này."
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Các mặt hàng Quý khách không muốn xuất hiện trong danh mục hoặc kết quả tìm kiếm sẽ có trạng thái 'Đã được vô hiệu' trong cửa hàng mong muốn này."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Các mặt hàng Quý khách không muốn xuất hiện trong danh mục hoặc kết quả tìm kiếm sẽ có trạng thái 'Đã được vô hiệu' trong cửa hàng mong muốn này."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Các mặt hàng Quý khách không muốn xuất hiện trong danh mục hoặc kết quả tìm kiếm sẽ có trạng thái 'Đã được vô hiệu' trong cửa hàng mong muốn này."
"Keep your eyes open for our special Back to School items and save A LOT!","@FIXME: Giữ cho đôi mắt của bạn mở cho đặc biệt lại của chúng tôi cho các mục trường và tiết kiệm A LOT!"
"Keep your eyes open for our special Back to School items and save A LOT!","@FIXME: Giữ cho đôi mắt của bạn mở cho đặc biệt lại của chúng tôi cho các mục trường và tiết kiệm A LOT!"
Label,Nhãn
Label,Nhãn
"Last Name",Họ
"Last Name",Họ
"Last Notification","Thông báo mới nhất"
"Last Notification","Thông báo mới nhất"
"Layered Navigation","Điều hướng phân lớp"
"Layered Navigation","Điều hướng phân lớp"
"Learn More","Tìm hiểu thêm"
"Learn More","Tìm hiểu thêm"
"leave blank if its not an image","để trống nếu không phải hình ảnh"
"leave blank if its not an image","để trống nếu không phải hình ảnh"
"Length of text is too long","@FIXME: Chiều dài của văn bản quá dài"
"Letters(a-zA-Z) or Numbers(0-9)","@FIXME: Chữ cái ( a-zA- Z) hoặc số (0-9)"
Letters,"@FIXME: mẫu tự"
"Line %d, Email: %s","Dòng %d, thư điện tử: %s"
"Line %d, Email: %s","Dòng %d, thư điện tử: %s"
"Line %d, SKU: %s","Dòng %d, mã sản phẩm: %s"
"Line %d, SKU: %s","Dòng %d, mã sản phẩm: %s"
"Link product does not exist.","Liên kết sản phẩm không tồn tại."
"Link product does not exist.","Liên kết sản phẩm không tồn tại."
"Link product not exists.","@FIXME: Liên kết sản phẩm không tồn tại."
"Link (Related, Up sell, Cross sell)","Liên kết (sản phẩm liên quan, bán sản phẩm cùng loại có giá trị cao hơn - up sell, bán thêm sản phẩm liên quan - cross sell)"
"Link (Related, Up sell, Cross sell)","Liên kết (sản phẩm liên quan, bán sản phẩm cùng loại có giá trị cao hơn - up sell, bán thêm sản phẩm liên quan - cross sell)"
"Link to a Specified Category","Liên kết tới nhóm sản phẩm đặc biệt"
"Link to a Specified Category","Liên kết tới nhóm sản phẩm đặc biệt"
"Link to a Specified Product","Liên kết tới sản phẩm đặc biệt"
"Link to a Specified Product","Liên kết tới sản phẩm đặc biệt"
List,"Danh sách"
List,"Danh sách"
"List Mode","Dạng danh sách"
"List Mode","Dạng danh sách"
"List of Products that are set as New","Danh sách của các sản phẩm được thiết lập như mới"
"List of Products that are set as New","Danh sách của các sản phẩm được thiết lập như mới"
"List of types","Danh sách các loại"
"List of types","Danh sách các loại"
"Manage Attribute Sets","Quản lý các nhóm thuộc tính"
"Manage Attribute Sets","Quản lý các nhóm thuộc tính"
"Manage Attributes","Quản lý các thuộc tính"
"Manage Attributes","Quản lý các thuộc tính"
"Manage Catalog Categories","Quản lý danh mục các nhóm sản phẩm"
"Manage Catalog Categories","Quản lý danh mục các nhóm sản phẩm"
"Manage Categories","Quản lý các nhóm sản phẩm"
"Manage Categories","Quản lý các nhóm sản phẩm"
"Manage Label / Options","Quản lý nhãn/ các tùy chọn"
"Manage Label / Options","Quản lý nhãn/ các tùy chọn"
"Manage Options (values of your attribute)","Quản lý các tùy chọn (các giá trị thuộc tính)"
"Manage Options (values of your attribute)","Quản lý các tùy chọn (các giá trị thuộc tính)"
"Manage Product Attributes","Quản lý các thuộc tính sản phẩm"
"Manage Product Attributes","Quản lý các thuộc tính sản phẩm"
"Manage Product Sets","Quản lý các nhóm sản phẩm"
"Manage Product Sets","Quản lý các nhóm sản phẩm"
"Manage Products","Quản lý các sản phẩm"
"Manage Products","Quản lý các sản phẩm"
"Manage Stock","Quản lý kho"
"Manage Stock","Quản lý kho"
"Manage Titles (Size, Color, etc.)","Quản lý tiêu đề (kích thước, màu sắc...)"
"Manage Titles (Size, Color, etc.)","Quản lý tiêu đề (kích thước, màu sắc...)"
"//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7","@FIXME: // Mã zero developers: STCMeCOM1 ( STC Magento phiên bản Thương mại điện tử 2012.1.0 ) based on the version Magento Community 1.7"
"Max Characters","Số ký tự lớn nhất"
"Max Characters","Số ký tự lớn nhất"
"Maximal Depth","Độ sâu tối đa"
"Maximal Depth","Độ sâu tối đa"
"Maximum allowed image size for '%s' is %sx%s px.","Kích thước hình ảnh tối đa cho '%s' là %sx%s px."
"Maximum allowed image size for '%s' is %sx%s px.","Kích thước hình ảnh tối đa cho '%s' là %sx%s px."
"Maximum image height","Chiều cao hình ảnh tối đa"
"Maximum image height","Chiều cao hình ảnh tối đa"
"Maximum Image Size","Kích thước hình ảnh tối đa"
"Maximum Image Size","Kích thước hình ảnh tối đa"
"Maximum image width","Chiều rộng hình ảnh tối đa"
"Maximum image width","Chiều rộng hình ảnh tối đa"
"Maximum number of characters:","Số ký tự tối đa cho phép:"
"Maximum number of characters","@FIXME: Số ký tự tối đa"
"Maximum number of characters:","Số ký tự tối đa cho phép:"
"Maximum number of price intervals is 100","Số tối đa của khoảng giá là 100"
"Maximum number of price intervals is 100","Số tối đa của khoảng giá là 100"
"Maximum Number of Price Intervals","Số tối đa của các khoảng giá"
"Maximum Number of Price Intervals","Số tối đa của các khoảng giá"
