"12h AM/PM","12g Sáng/Chiều"
failed,"thất bại"
"Failed to add a product to cart by id ""%s""","@FIXME: Không thể thêm một sản phẩm vào giỏ hàng của id""% s"""
"Failed to add a product to cart by id ""%s"".","Không thể thêm sản phẩm có id ""%s"" vào giỏ hàng."
"Failed to cancel the billing agreement.","Không thể hủy thỏa thuận thanh toán."
"Failed to clear the JavaScript/CSS cache.","Không thể xóa bộ nhớ đệm JavaScript/CSS."
"Failed to delete the billing agreement.","Không thể xóa thỏa thuận thanh toán."
"Failed to load %1$s.xml or %1$s.ser","@FIXME: Không thể tải % 1 $ s.xml hoặc % 1 $ s.ser"
"Failed to update the profile.","Không thể cập nhật hồ sơ này."
"Field Mapping","Trường bản đồ hóa"
Field,Trường
"File Information","Thông tin tập tin"
"File mode","Dạng tập tin"
"File name:","Tên tập tin:"
"File size should be more than 0 bytes","Kích thước tập tin nên lớn hơn 0 bytes"
"File System","Hệ thống tập tin"
File,"Tập tin"
"Final Price","@FIXME: Giá thức"
"Finished items creation.","@FIXME: Hoàn thành các hạng mục tạo."
"Finished profile execution.","Kết thúc thực hiện hồ sơ."
"First Invoice Created Date","Ngày tạo hóa đơn đầu tiên"
Firstname,"@FIXME: FirstName"
"First Name is required field.","Tên là trường bắt buộc phải nhập."
"First Name:",Tên:
"First Name",Tên
Fixed,"Cố định"
,"@FIXME: "
"Flat Catalog Category rebuild error","@FIXME: Flat Catalog mục xây dựng lại lỗi"
"Flat Catalog Category was rebuilt successfully","@FIXME: Flat Catalog mục được xây dựng lại thành công"
"Flat Catalog Product rebuild error. Please try again later","@FIXME: Flat Catalog sản phẩm xây dựng lại lỗi.  Vui lòng thử lại sau"
"Flat Catalog Product was rebuilt successfully","@FIXME: Flat Danh mục sản phẩm được xây dựng lại thành công"
"Flush Catalog Images Cache","Xóa bộ nhớ đệm hình ảnh danh mục"
"Flush JavaScript/CSS Cache","Xóa bộ nhớ đệm JavaScript/CSS"
"For category","Cho nhóm sản phẩm"
"Forgot Admin Password","Quên mật khẩu quản trị"
"Forgot your password?","Quên mật khẩu?"
"Forgot your user name or password?","Quên tên đăng nhập hoặc mật khẩu?"
"For latest version visit: %s","Để ghé thăm phiên bản mới nhất: %s"
"For product","Cho sản phẩm"
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Đối với loại ""Máy chủ nội bộ"" cần sử dụng đường dẫn tương đối để cài đặt STCMeCOM var/export hoặc var/import. Ví dụ: var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(Dành cho các tên bang của Hoa Kỳ, viết tắt 2 ký tự)"
from,từ
From,Từ
"FTP credentials","Thông tin FTP"
"FTP Host","Máy chủ FTP"
"FTP Host[:Port]","Máy chủ FTP [:Port]"
"FTP Login","Đăng nhập FTP"
"FTP Password","Mật khẩu FTP"
Gb,"@FIXME: Gb"
"General Information","Thông tin chung"
"General Section","Khu vực chung"
"Get help for this page","Nhận trợ giúp cho trang này"
"Get Image Base64","Nhận hình ảnh Base64"
"Give the verifier code to application administrator","Cung cấp mã xác minh cho quản trị ứng dụng"
"Global Attribute","Thuộc tính toàn hệ thống"
"Global Record Search","Tìm bản ghi toàn hệ thống"
"Global Search","Tìm kiếm toàn hệ thống"
[GLOBAL],"[TOÀN HỆ THỐNG]"
GLOBAL,"TOÀN HỆ THỐNG"
"Google Base","@FIXME: Google Base"
"Google Base Items","@FIXME: Google Base mục"
"Google Content","@FIXME: Nội dung Google"
"Google Sitemaps","@FIXME: Google Sitemaps"
"Go Today","Đến ngày hôm nay"
"Go to messages inbox","Mở hộp thư đến"
"Go to notifications","Mở các thông báo"
"Grand Total","Tổng tiền"
"Grid (default) / List","Lưới (mặc định)/ Danh sách"
"Grid Only","Chỉ dạng lưới"
"Grid only","@FIXME: lưới chỉ"
Group:,Nhóm:
Guest,"Khách chưa đăng nhập"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Lỗi 404</h1><p>Không tìm thấy trang.</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","@FIXME: u003c h1 class =""trang - tiêu đề""u003e Truy cập bị từ chối u003c/ h1u003e u003cp u003e Truy cập bị từ chối. u003c/ pu003e"
"Helper attributes should not be used in custom layout updates.","Các thuộc tính trợ giúp không nên sử dụng trong các bản cập nhật bố trí tùy chỉnh."
"Helper for options rendering doesn't implement required interface.","Trợ giúp cho biểu hiện các tùy chọn không thực hiện mẫu yêu cầu."
"Help Us Keep Magento Healthy - Report All Bugs","Chúng tôi rất mong nhận được thông báo lỗi từ Quý khách"
"- Hold mouse button on any of the above buttons for faster selection.","- Bấm và giữ chuột trên bất kỳ nút trên nào để chọn nhanh hơn."
Home,"Trang chủ"
"HTTPS (SSL)","@FIXME: HTTPS (SSL)"
"HTTP (unsecure)","HTTP (không an toàn)"
Id,"@FIXME: id"
ID,"@FIXME: ID"
"ID Path","Đường dẫn ID"
"* - If indexing is in progress, it will be killed and new indexing process will start","@FIXME: * - Nếu chỉ mục là trong tiến trình, nó sẽ bị giết và quá trình lập chỉ mục mới sẽ bắt đầu"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Nếu việc lập chỉ mục đang được thực hiện, nó sẽ bị kết thúc và quá trình lập chỉ mục mới sẽ bắt đầu."
"(If left empty will be auto-generated)","(Nếu để trống, hệ thống sẽ tự động ghi vào)"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Nếu có một tài khoản gắn với %s Quý khách sẽ nhận được thư điện tử gửi liên kết đặt lại mật khẩu."
"If this message persists, please contact the store owner.","Nếu vẫn nhận được thông báo này, xin liên hệ với chủ cửa hàng."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","@FIXME: Nếu bạn không chỉ định một giá trị tùy chọn cho một cái nhìn cụ thể cửa hàng thì mặc định ( Admin) giá trị sẽ được sử dụng."
Ignore,"@FIXME: Bỏ qua"
"Image cache was cleared successfully","@FIXME: Bộ nhớ cache hình ảnh đã được xóa thành công"
"Images Cache","Bộ nhớ đệm hình ảnh"
Images,"@FIXME: hình ảnh"
"Images (.gif, .jpg, .png)","Các hình ảnh (.gif, .jpg, .png)"
images/logo.gif,"@FIXME: images / logo.gif"
"Import and Export","Nhập vào và Kết xuất"
"Import and Export Tax Rates","Tỷ lệ thuế nhập và xuất"
"Important: ","Quan trọng: "
"Imported <strong>%s</strong> records","Bản ghi <strong>%s</strong> đã được nhập vào"
"Import/Export Advanced","Nhập vào/ Kết xuất cao cấp"
Import/Export,"Nhập vào/ Kết xuất"
"Import/Export Profile","Hồ sơ Nhập vào/ Kết xuất"
Import,"Nhập vào"
"Import Service","Dịch vụ nhập vào"
Inactive,"Không hoạt động"
"Incl. Tax","Bao gồm thuế"
Include,"@FIXME: bao gồm"
"Incoming Message","Tin nhắn đến"
"In Database:","Trong cơ sở dữ liệu:"
"Individual Item","@FIXME: từng Item"
"In File:","Trong tập tin:"
"Insert Variable...","Chèn biến..."
"Installed As","@FIXME: Khi cài đặt"
"Installed Extension Info","@FIXME: Thông tin cài đặt Extension"
"Installed Version","@FIXME: Phiên bản cài đặt"
Install,"@FIXME: đặt"
"Installing $pkg, please wait...","@FIXME: Cài đặt $ pkg, vui lòng đợi..."
"Installing selected packages, please wait...","@FIXME: Cài đặt các gói lựa chọn, xin vui lòng chờ..."
"Install Package File","@FIXME: Cài đặt gói tập tin"
"Instant Payment Notification (IPN)","@FIXME: Ngay lập tức thông báo thanh toán ( IPN)"
Interactive,"Tương tác"
"Interface Locale: %s","Mẫu hệ thống: %s"
In,Trong
Invalidated,"Hết hiệu lực"
"Invalid directory: %s","Thư mục %s không hợp lệ"
"Invalid email address.","Địa chỉ thư điện tử không hợp lệ."
"Invalid email address ""%s"".","Địa chỉ thư điện tử ""%s"" không hợp lệ."
"Invalid file: %s","Tập tin %s không hợp lệ"
"Invalid Form Key. Please refresh the page.","Khóa định dạng không hợp lệ. Xin làm mới trang."
"Invalid Import Service Specified","Dịch vụ nhập vào được xác định không hợp lệ"
"Invalid input data for %s => %s rate","Dữ liệu đầu vào không hợp lệ cho %s => tỷ giá %s"
"Invalid input:","@FIXME: Đầu vào không hợp lệ:"
"Invalid parent block for this block.","Khối gốc cho khối này không hợp lệ."
"Invalid parent block for this block","Khối gốc cho khối này không hợp lệ"
"Invalid parrent block for this block","@FIXME: Khối parrent không hợp lệ cho khối này"
"Invalid password reset token.","Thẻ xác thực đặt lại mật khẩu không hợp lệ."
"Invalid POST data (please check post_max_size and upload_max_filesize settings in you php.ini file)","@FIXME: POST dữ liệu không hợp lệ ( vui lòng kiểm tra post_max_size và upload_max_filesize bạn thiết lập trong php.ini file)"
"Invalid POST data (please check post_max_size and upload_max_filesize settings in your php.ini file).","Dữ liệu GỬI LÊN không hợp lệ (xin kiểm tra thiết lập 'post_max_size' và 'upload_max_filesize' trong tập tin 'php.ini')."
"Invalid Secret Key. Please refresh the page.","Khóa bí mật không hợp lệ. Xin làm mới trang."
"Invalid section value","@FIXME: Giá trị phần hợp lệ"
"Invalid sender name ""%s"". Please use only visible characters and spaces.","Tên người gửi ""%s"" không hợp lệ. Xin chỉ sử dụng các chữ, số và khoảng trống."
"Invalid store value","@FIXME: Giá trị cửa hàng không hợp lệ"
"Invalid timezone","Múi giờ không hợp lệ"
"Invalid URL","@FIXME: URL không hợp lệ"
"Invalid Username or Password.","Tên đăng nhập hoặc mật khẩu không chính xác."
"Invalid User Name or Password.","Tên đăng nhập hoặc mật khẩu không hợp lệ."
"Invalid website value","@FIXME: Giá trị trang web không hợp lệ"
"Inventory Stock Status","Trạng thái tồn kho"
"Invoice and shipment was successfully created.","@FIXME: Hóa đơn và giao hàng đã được tạo thành công."
"Invoice cancel error.","@FIXME: Hóa đơn hủy bỏ lỗi."
"Invoice canceling error.","Lỗi hủy hóa đơn."
"Invoice capture error","@FIXME: Lỗi chụp hóa đơn"
"Invoice capturing error.","Lỗi lấy hóa đơn."
"Invoice History","Lịch sử hóa đơn"
Invoices,"Các hóa đơn"
"Invoice #%s comment added","Ghi chú cho hóa đơn #%s đã được thêm vào"
"Invoice #%s created","Hóa đơn #%s đã được tạo"
"Invoice Totals","Tổng số hóa đơn"
"Invoice void error","@FIXME: Hóa đơn trống lỗi"
"Invoice voiding error.","Lỗi hóa đơn hết hiệu lực"
"Invoice was successfully canceled.","@FIXME: Hóa đơn đã bị hủy bỏ thành công."
"Invoice was successfully captured","@FIXME: Hóa đơn đã bị bắt thành công"
"Invoice was successfully created.","@FIXME: Hoá đơn được tạo thành công."
"Invoice was successfully voided","@FIXME: Hóa đơn bị bác bỏ thành công"
"IP Address","Địa chỉ IP"
"IPN (Instant Payment Notification) Only","Chỉ dành cho thông báo thanh toán tức thời (IPN)"
"Is Closed","Được đóng lại"
"Is Default","@FIXME: là mặc định"
"Issue Number","Số phát hành"
"Issuer: %s","@FIXME: Nơi cấp: % s"
Items,"Các mặt hàng"
"items selected","@FIXME: mục đã chọn"
"Items to merge","@FIXME: Các mặt hàng sáp nhập"
"JavaScript/CSS Cache","Bộ nhớ đệm JavaScript/CSS"
JavaScript/CSS,"@FIXME: JavaScript / CSS"
"JavaScript seems to be disabled in your browser.","Có lẽ JavaScript đã được vô hiệu trong trình duyệt của Quý khách."
Kb,"@FIXME: Kb"
"Last 24 hours","@FIXME: 24 giờ qua"
"Last 24 Hours","Trong 24 giờ qua"
"Last 5 Orders","5 đơn hàng mới nhất"
"Last 5 Search Terms","5 từ khóa tìm kiếm mới nhất"
"Last 7 days","@FIXME: 7 ngày gần đây"
"Last 7 Days","Trong 7 ngày qua"
"Last Credit Memo Created Date","Ngày tạo bản ghi tín dụng mới nhất"
"Last Invoice Created Date","Ngày lập hóa đơn mới nhất"
"Last Logged In:","Lần đăng nhập cuối:"
"Last Logged In (%s):","Lần đăng nhập cuối (%s):"
"Last Month","@FIXME: Tháng trước"
Lastname,"@FIXME: LastName"
"Last Name:",Họ:
"Last Name",Họ
"Last Name is required field.","Họ là trường bắt buộc phải nhập."
"Last updated: %s. To refresh last day\'s <a href=""%s"">statistics</a>, click <a href=""%s"">here</a>.","Ngày cập nhật gần nhất: %s. Để làm mới <a href=""%s"">các thống kê</a>, bấm vào <a href=""%s"">đây</a>."
"Latest Message:","Tin nhắn mới nhất:"
"Layered Navigation indexing queue cancelled","@FIXME: Layered Navigation lập chỉ mục hàng đợi bị hủy bỏ"
"Layered Navigation indexing queued","@FIXME: Layered Navigation lập chỉ mục xếp hàng đợi"
"Layered Navigation Indices","Chỉ mục điều hướng phân lớp"
"Layered Navigation Indices was refreshed successfully","@FIXME: Layered Navigation chỉ số đã được cập nhật thành công"
"Layered Navigation Indices were refreshed.","Chỉ mục điều hướng phân lớp đã được làm mới."
"Layered Navigation Indices were refreshed successfully","@FIXME: Layered Navigation chỉ số đã được cập nhật thành công"
"Layered Navigation process queued to be killed","@FIXME: Quá trình lớp Navigation xếp hàng đợi bị giết chết"
"(Leave empty for first spreadsheet)","(Để trống bảng đầu tiên)"
"Leave empty to use tax identifier","Để trống để sử dụng nhận dạng thuế"
Level,"@FIXME: trình độ"
License,"@FIXME: giấy phép"
License:,"@FIXME: Giấy phép:"
"License URI","@FIXME: Giấy phép URI"
"Lifetime Sales","Chu kỳ bán hàng"
"Lifetime statistics have been updated.","Các thống kê chu kỳ đã được cập nhật."
Links,"Các liên kết"
"Links with associated products will retain only after saving current product.","Liên kết với các sản phẩm liên quan sẽ chỉ giữ lại sau khi lưu sản phẩm hiện tại."
"List (default) / Grid","Danh sách (mặc định)/ Lưới"
"List Only","Chỉ dạng danh sách"
"List only","@FIXME: Danh sách chỉ"
"Load default template","Tải mẫu mặc định"
Loading...,"Đang tải..."
"Load local Package","@FIXME: Tải trọn gói địa phương"
"Load Template","Tải mẫu"
Locale,"Hệ thống"
"Local/Remote Server","Máy chủ nội bộ/ từ xa"
"Local Server","Máy chủ nội bộ"
"Logged in as %s","Đăng nhập với tên %s"
Login,"Đăng nhập"
"Log In","Đăng nhập"
"Log in to Admin Panel","Đăng nhập vào Trang quản trị"
"Log into Magento Admin Page","Đăng nhập vào Trang quản trị STCMeCOM"
"Log in to use <strong>%s</strong>","Đăng nhập để sử dụng <strong>%s</strong>"
"Log Out","Đăng xuất"
"Low Stock","Còn ít hàng"
"Magento Admin","Quản trị STCMeCOM"
"Magento Commerce - Administrative Panel","Trang quản trị STCMeCOM"
"Magento Connect","Kết nối STCMeCOM"
"Magento Connect Manager","Quản lý kết nối STCMeCOM"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","@FIXME: Magento là một thương hiệu của Irubin Consulting Inc. DBA Varien.  Bản quyền u0026 copy;  % s Irubin Consulting Inc."
"Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.","STCMeCOM được phát triển bởi Nguyễn Thái Sơn, STC"
"Magento Logo","Biểu tượng STCMeCOM"
"Magento root directory","Thư mục gốc STCMeCOM"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","@FIXME: Magento u0026 thương mại;  là thương hiệu của Irubin Consulting Inc. DBA Varien u003cbr/u003e Bản quyền u0026 copy.  % s Irubin Consulting Inc."
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","STCMeCOM được phát triển bởi Nguyễn Thái Sơn, STC"
"Magento ver. %s","STCMeCOM phiên bản 2012.1.0"
Maintainers,"@FIXME: bảo trì"
major,"chính yếu"
MAJOR,"CHÍNH YẾU"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Hãy chắc chắn rằng các dữ liệu được mã hóa phù hợp trong tập tin và được lưu trong một trong các bảng mã được hỗ trợ (UTF-8 or ANSI)."
"Manage Attribute Sets","Quản lý các nhóm thuộc tính"
"Manage Attributes","Quản lý thuộc tính"
"Manage Categories","Quản lý nhóm sản phẩm"
"Manage Content","Quản lý nội dung"
"Manage Currency Rates","Quản lý tỷ giá ngoại tệ"
"Manage Currency Symbols","@FIXME: Biểu tượng quản lý ngoại tệ"
"Manage Customers","Quản lý khách hàng"
"Manage Installed Extensions","@FIXME: Quản lý cài đặt phần mở rộng"
"Manage Options (values of your attribute)","@FIXME: Quản lý tùy chọn ( giá trị của thuộc tính của bạn )"
"Manage osCommerce Orders","@FIXME: Quản lý đơn đặt hàng osCommerce"
"Manage osCommerce Profiles","@FIXME: Quản lý Hồ sơ osCommerce"
"Manage Ratings","Quản lý đánh giá"
"Manage Stores","Quản lý cửa hàng"
"Manage Tax Rules","Quản lý quy tắc thuế"
"Manage Tax Zones and Rates","Quản lý các khu và tỷ lệ thuế"
"Manage Titles (Size, Color, etc.)","@FIXME: Quản lý Titles (kích cỡ, màu sắc, vv)"
Manual,"Hướng dẫn sử dụng"
"Mapping Configuration","@FIXME: lập bản đồ cấu hình"
"//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7","@FIXME: // Mã zero developers: STCMeCOM1 ( STC Magento phiên bản Thương mại điện tử 2012.1.0 ) based on the version Magento Community 1.7"
"Matched Expression","Biểu hiện phù hợp"
"Matched expression","@FIXME: biểu hiện phù hợp"
Max,"@FIXME: Max"
Maximum,"@FIXME: tối đa"
"Maximum sender name length is 255. Please correct your settings.","@FIXME: Tối đa chiều dài tên người gửi là 255. Xin vui lòng sửa các thiết lập của bạn."
Mb,"@FIXME: Mb"
md5sum,"@FIXME: md5sum"
"Media (.avi, .flv, .swf)","Truyền thông (.avi, .flv, .swf)"
"Media storages synchronization has completed!","Đồng bộ các kho lưu trữ truyền thông đã được hoàn thành!"
"Merge Now","@FIXME: Bây giờ hợp nhất"
"Messages Inbox","Hộp thư đến"
Min,"@FIXME: Min"
Minimum,"@FIXME: tối thiểu"
minor,"thứ yếu"
MINOR,"THỨ YẾU"
"Module version conflict!","@FIXME: Mô-đun phiên bản xung đột!"
Month,Tháng
"Most Viewed","Được xem nhiều nhất"
"Most Viewed Products","Các sản phẩm được xem nhiều nhất"
"MS Excel XML","@FIXME: MS Excel XML"
"Multiple Select","Tùy chọn nhiều đối tượng"
"My Account","Quản lý tài khoản"
"My Applications","Quản lý các ứng dụng"
N/A,"Không có"
"Name on Card","@FIXME: Tên trên thẻ"
"Name on the Card: %s","@FIXME: Tên trên thẻ: % s"
Name,Tên
Name:,Tên:
"Never (production)","Không (sản xuất)"
"New Accounts","Các tài khoản mới"
"New admin password","@FIXME: Mật khẩu quản trị mới"
"New Api Key","@FIXME: New Api Key"
"New API Key","Khóa API mới"
"New attribute set mapping","@FIXME: Thuộc tính thiết lập bản đồ mới"
"New Attribute","Thuộc tính mới"
"New Block","Khối mới"
"New Category","Nhóm sản phẩm mới"
"New Class","Lớp mới"
"New Condition","Điều kiện mới"
"New Customer","Khách hàng mới"
"New Customers","Các khách hàng mới"
"New Custom Variable","Biến tùy chỉnh mới"
"New Design Change","Thay đổi thiết kế mới"
"New Email Template","Mẫu thư điện tử mới"
"New Extension","@FIXME: New Extension"
"New Group","Nhóm mới"
"New Invoice","Hóa đơn mới"
"New Item Type","Loại mặt hàng mới"
"New Memo","Bản ghi mới"
"New Memo for #%s","Bản ghi mới cho #%s"
"New ","Mới "
"New Page","Trang mới"
"New password field cannot be empty.","Trường mật khẩu không thể để trống."
"New Password","Mật khẩu mới"
"New Poll","Bình chọn mới"
"New Profile","Hồ sơ mới"
"New Rate","Tỷ giá mới"
"New Rating","Đánh giá mới"
"New Review","Nhận xét mới"
"New Role","Vai trò mới"
"New Rule","Quy tắc mới"
"New Search","@FIXME: Tìm kiếm mới"
"New Set","Nhóm mới"
"New Shipment","Lô hàng mới"
"New Sitemap","Sitemap mới"
Newsletter,"Bản tin điện tử"
"Newsletter Problems","Các lỗi bản tin điện tử"
"Newsletter Queue","Bản tin điện tử chờ duyệt"
"Newsletter Subscribers","Đăng ký bản tin điện tử"
"Newsletter Templates","Các mẫu bản tin điện tử"
"New Store View","Không gian cửa hàng mới"
"New System Template","Mẫu hệ thống mới"
"New Tag","Thẻ mới"
"New Template","Mẫu mới"
"New User","Thành viên mới"
"New Variable","Biến mới"
"New Website","Website mới"
"Next month (hold for menu)","Tháng sau (giữ cho thực đơn)"
"Next page","@FIXME: trang tiếp theo"
"Next year (hold for menu)","Năm sau (giữ cho thực đơn)"
"No change","Không thay đổi"
"No customer id defined.","Không có ID khách hàng nào được xác định."
"No Data","@FIXME: không có dữ liệu"
"No Data Found","Không tìm thấy dữ liệu"
"No Extensions Found","@FIXME: Không mở rộng hiện"
"No information available.","Không nhận được thông tin."
No,Không
None,Không
"No (price without tax)","Không (giá chưa bao gồm thuế)"
"No profile","@FIXME: không có hồ sơ"
"No profile loaded...","Không hồ sơ nào được tải..."
"No records found for this period.","Không có bản ghi nào được tìm thấy."
"No records found.","Không có bản ghi nào được tìm thấy."
"No report code specified.","Không có mã báo cáo nào được xác định."
"No search keywords.","Không có từ khóa tìm kiếm."
"No search modules registered","@FIXME: Không module tìm kiếm đăng ký"
"No search modules were registered","Không có mô-đun tìm kiếm được đăng ký"
Note:,"Ghi chú:"
"No Templates Found","Không tìm thấy mẫu"
Notes,"Các ghi chú"
Notes:,"@FIXME: Ghi chú:"
notice,"thông báo"
NOTICE,"THÔNG BÁO"
Notifications,"Các thông báo"
"-- Not Selected --","-- Không được chọn --"
"No wishlist item id defined.","Không có ID mặt hàng yêu thích nào được xác định."
"Number of Orders","Số lượng các đơn đặt hàng"
"Number of records:","Số lượng các bản ghi:"
"Number of Use","@FIXME: Số sử dụng"
"Number of Uses","Số lượng sử dụng"
"Number of Views","Số lượng lượt xem"
"OAuth authorization for admin","Ủy quyền OAuth cho quản trị"
"OAuth authorization simple for admin","Ủy quyền OAuth đơn giản cho quản trị"
"OAuth Consumers","Các khách hàng OAuth"
"of %s pages","@FIXME: của % s trang"
OK,"Đồng ý"
"Old rate:","Tỷ giá cũ:"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","@FIXME: Một khi bạn đăng nhập vào tài khoản PayPal của bạn nâng cao, điều hướng đến Cài đặt Dịch vụ - Hosted Thanh Trang - Thiết lập menu và thiết lập các tùy chọn mô tả dưới đây"
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","@FIXME: Một khi bạn đăng nhập vào tài khoản PayPal của Payflow liên kết của bạn, điều hướng đến Cài đặt Dịch vụ - Hosted Thanh Trang - Thiết lập menu và thiết lập các tùy chọn mô tả dưới đây"
"One of options row has error","@FIXME: Một trong những lựa chọn hàng có lỗi"
"One or more media files failed to be synchronized during the media storages syncronization process. Refer to the log file for details.","Một hoặc nhiều tập tin truyền thông không được đồng bộ trong quá trình đồng bộ kho lưu trữ truyền thông. Xem tập tin 'log' để biết thêm chi tiết."
"One or more of the Cache Types are invalidated:","Một hoặc nhiều loại bộ nhớ đệm không hợp lệ:"
"Online Customers","Các khách hàng trực tuyến"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Chỉ nhận các thuộc tính có phạm vi ""Toàn hệ thống"", loại đầu vào ""Thả xuống"" và ""Có"" 'Sử dụng để tạo sản phẩm cấu hình'."
"Only mapped fields","Chỉ các trường được bản đồ hóa"
"Only Once (version upgrade)","Chỉ một lần (nâng cấp phiên bản)"
Optional,"Tùy chọn"
Options,"Các tùy chọn"
"Options is required","@FIXME: Tùy chọn được yêu cầu"
"- or click and drag for faster selection.","- hoặc bấm và kéo để chọn nhanh hơn."
"Order confirmation email not sent","@FIXME: Để email xác nhận không gửi"
"Order confirmation email sent","@FIXME: Email xác nhận đơn hàng gửi"
"Order Created Date","Ngày đặt hàng"
Order,"Đơn hàng"
"Order ID","ID đơn hàng"
"Order not longer exist.","@FIXME: Để không còn tồn tại."
"Order not longer exist","@FIXME: Để không còn tồn tại"
Orders,"Các đơn hàng"
"Order #%s","Đơn hàng: %s"
"Order #%s (%s)","Đơn hàng: %s (%s)"
"Order Totals","Tổng số đơn hàng"
"Order Updated Date","Ngày cập nhật đơn hàng"
"Order Updated Date report is real-time, does not need statistics refreshing.","Báo cáo ngày cập nhật đơn hàng được cập nhật theo thời gian thực, không cần làm mới các bản thống kê."
or,"@FIXME: hoặc"
"Original Magento attribute names in first row:","Các tên thuộc tính STCMeCOM ban đầu nằm ở dòng đầu tiên:"
"- or Shift-click to decrease it","- hoặc Shift-click để giảm nó"
"Out of stock","Hết hàng"
"Package Extensions","Các tiện ích mở rộng đóng gói"
"Package File Name","@FIXME: Gói File Name"
Package,"@FIXME: gói"
"Package Info","@FIXME: Thông tin gói"
"Package Information","@FIXME: Thông tin gói"
"Package %s data was successfully loaded","@FIXME: Dữ liệu gói % s đã được nạp thành công"
Packages,"@FIXME: gói"
Page,"@FIXME: trang"
Pages,"Các trang"
"Parent Product Thumbnail","Hình thu nhỏ sản phẩm gốc"
"Parent Transaction ID","ID giao dịch gốc"
"Passive mode","Cơ chế thụ động"
"Password Confirmation","Mật khẩu xác nhận"
"Password confirmation must be same as password.","Mật khẩu xác nhận phải giống mật khẩu."
Password,"Mật khẩu"
Password:,"Mật khẩu:"
"Password must be at least of %d characters.","Mật khẩu phải có ít nhất %d ký tự."
"Password must include both numeric and alphabetic characters.","Mật khẩu phải bao gồm cả ký tự số và chữ cái."
Path:,"Đường dẫn:"
Path,"@FIXME: đường dẫn"
"Payment Data Transfer (PDT)","@FIXME: Truyền dữ liệu thanh toán (PDT)"
"Payment method instance is not available.","Hiện tại không có phương thức thanh toán."
"Payment method is not available.","Không có phương thức thanh toán."
"Payment method must be specified","@FIXME: Phương thức thanh toán phải được xác định"
"Payment method must be specified.","Phương thức thanh toán phải được xác định."
"PayPal Email","@FIXME: PayPal Email"
"PayPal Manager","Quản lý PayPal"
"PDT (Payment Data Transfer) Only","Chỉ dành cho chuyển giao dữ liệu thanh toán (PDT)"
"PEAR config","@FIXME: PEAR cấu hình"
"PEAR Configuration was successfully saved","@FIXME: PEAR cấu hình đã được lưu thành công"
"PEAR Console","@FIXME: PEAR điều khiển"
"Pending installation...","@FIXME: Trong khi chờ lắp đặt..."
"Pending Reviews","Các nhận xét chờ gửi lên"
"Pending Tags","Các thẻ chờ gán"
Percent,"Phần trăm"
"Performed At","Thực hiện ở"
Period,"Thời gian"
"Per Item","Mỗi mặt hàng"
"Permanent (301)","(301) Cố định"
Permissions,"Các vai trò"
"Per Order","Mỗi đơn hàng"
"per page","@FIXME: mỗi trang"
"Personal Information","Thông tin cá nhân"
Phone:,"Số điện thoại:"
"PHP Version","@FIXME: PHP Version"
"Please, add a few answers to this poll first","@FIXME: Xin vui lòng, thêm một vài câu trả lời cho cuộc bình chọn này đầu tiên"
"Please, add some answers to this poll first.","Trước hết, xin thêm một vài câu trả lời cho bình chọn này"
"Please confirm site switching. All data that hasn't been saved will be lost.",@TODO
"Please confirm site switching. All data that hasn\'t been saved will be lost.","Xin xác nhận việc chuyển đổi trang web. Tất cả các dữ liệu chưa được lưu sẽ bị mất."
"Please enter 6 or more characters.","Xin nhập ít nhất 6 ký tự."
"Please enter another credit card number to complete your purchase.","Xin nhập số thẻ tín dụng khác để mua hàng."
"Please enter a number greater than 0 in this field.","Xin nhập số lớn hơn 0 trong trường này."
"Please enter a valid $ amount. For example $100.00.","Xin nhập số tiền $ hợp lệ. Ví dụ 100 đ."
"Please enter a valid credit card number.","Xin nhập số thẻ tín dụng hợp lệ."
"Please enter a valid date.","Xin nhập ngày hợp lệ."
