//Được dịch bởi Nguyễn Thái Sơn, STC
//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com
//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7

"Links with associated products will retain only after saving current product.","Liên kết với các sản phẩm liên quan sẽ chỉ giữ lại sau khi lưu sản phẩm hiện tại."
"List (default) / Grid","Danh sách (mặc định)/ Lưới"
"List Only","Chỉ dạng danh sách"
"Load Template","Tải mẫu"
"Load default template","Tải mẫu mặc định"
"Loading...","Đang tải..."
"Local Server","Máy chủ nội bộ"
"Local/Remote Server","Máy chủ nội bộ/ từ xa"
"Locale","Hệ thống"
"Log In","Đăng nhập"
"Log Out","Đăng xuất"
"Log in to Admin Panel","Đăng nhập vào Trang quản trị"
"Log in to use <strong>%s</strong>","Đăng nhập để sử dụng <strong>%s</strong>"
"Log into Magento Admin Page","Đăng nhập vào Trang quản trị STCMeCOM"
"Logged in as %s","Đăng nhập với tên %s"
"Login","Đăng nhập"
"Low Stock","Còn ít hàng"
"MAJOR","CHÍNH YẾU"
"MINOR","THỨ YẾU"
"MS Excel XML","MS Excel XML"
"Magento Admin","Quản trị STCMeCOM"
"Magento Commerce - Administrative Panel","Trang quản trị STCMeCOM"
"Magento Connect","Kết nối STCMeCOM"
"Magento Connect Manager","Quản lý kết nối STCMeCOM"
"Magento Logo","Biểu tượng STCMeCOM"
"Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.","STCMeCOM được phát triển bởi Nguyễn Thái Sơn, STC"
"Magento root directory","Thư mục gốc STCMeCOM"
"Magento ver. %s","STCMeCOM phiên bản 2012.1.0"
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","STCMeCOM được phát triển bởi Nguyễn Thái Sơn, STC"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Hãy chắc chắn rằng các dữ liệu được mã hóa phù hợp trong tập tin và được lưu trong một trong các bảng mã được hỗ trợ (UTF-8 or ANSI)."
"Manage Attribute Sets","Quản lý các nhóm thuộc tính"
"Manage Attributes","Quản lý thuộc tính"
"Manage Categories","Quản lý nhóm sản phẩm"
"Manage Content","Quản lý nội dung"
"Manage Currency Rates","Quản lý tỷ giá ngoại tệ"
"Manage Customers","Quản lý khách hàng"
"Manage Ratings","Quản lý đánh giá"
"Manage Stores","Quản lý cửa hàng"
"Manage Tax Rules","Quản lý quy tắc thuế"
"Manage Tax Zones and Rates","Quản lý các khu và tỷ lệ thuế"
"Manual","Hướng dẫn sử dụng"
"Matched Expression","Biểu hiện phù hợp"
"Mb","Mb"
"Media (.avi, .flv, .swf)","Truyền thông (.avi, .flv, .swf)"
"Media storages synchronization has completed!","Đồng bộ các kho lưu trữ truyền thông đã được hoàn thành!"
"Messages Inbox","Hộp thư đến"
"Month","Tháng"
"Most Viewed","Được xem nhiều nhất"
"Most Viewed Products","Các sản phẩm được xem nhiều nhất"
"Multiple Select","Tùy chọn nhiều đối tượng"
"My Account","Quản lý tài khoản"
"My Applications","Quản lý các ứng dụng"
"N/A","Không có"
"NOTICE","THÔNG BÁO"
"Name","Tên"
"Name:","Tên:"
"Never (production)","Không (sản xuất)"
"New ","Mới "
"New API Key","Khóa API mới"
"New Accounts","Các tài khoản mới"
"New Attribute","Thuộc tính mới"
"New Block","Khối mới"
"New Category","Nhóm sản phẩm mới"
"New Class","Lớp mới"
"New Condition","Điều kiện mới"
"New Custom Variable","Biến tùy chỉnh mới"
"New Customer","Khách hàng mới"
"New Customers","Các khách hàng mới"
"New Design Change","Thay đổi thiết kế mới"
"New Email Template","Mẫu thư điện tử mới"
"New Group","Nhóm mới"
"New Invoice","Hóa đơn mới"
"New Item Type","Loại mặt hàng mới"
"New Memo","Bản ghi mới"
"New Memo for #%s","Bản ghi mới cho #%s"
"New Page","Trang mới"
"New Password","Mật khẩu mới"
"New Poll","Bình chọn mới"
"New Profile","Hồ sơ mới"
"New Rate","Tỷ giá mới"
"New Rating","Đánh giá mới"
"New Review","Nhận xét mới"
"New Role","Vai trò mới"
"New Rule","Quy tắc mới"
"New Search","New Search"
"New Set","Nhóm mới"
"New Shipment","Lô hàng mới"
"New Sitemap","Sitemap mới"
"New Store View","Không gian cửa hàng mới"
"New System Template","Mẫu hệ thống mới"
"New Tag","Thẻ mới"
"New Template","Mẫu mới"
"New User","Thành viên mới"
"New Variable","Biến mới"
"New Website","Website mới"
"New password field cannot be empty.","Trường mật khẩu không thể để trống."
"Newsletter","Bản tin điện tử"
"Newsletter Problems","Các lỗi bản tin điện tử"
"Newsletter Queue","Bản tin điện tử chờ duyệt"
"Newsletter Subscribers","Đăng ký bản tin điện tử"
"Newsletter Templates","Các mẫu bản tin điện tử"
"Next month (hold for menu)","Tháng sau (giữ cho thực đơn)"
"Next year (hold for menu)","Năm sau (giữ cho thực đơn)"
"No","Không"
"No (price without tax)","Không (giá chưa bao gồm thuế)"
"No Data Found","Không tìm thấy dữ liệu"
"No Templates Found","Không tìm thấy mẫu"
"No change","Không thay đổi"
"No customer id defined.","Không có ID khách hàng nào được xác định."
"No information available.","Không nhận được thông tin."
"No profile loaded...","Không hồ sơ nào được tải..."
"No records found for this period.","Không có bản ghi nào được tìm thấy."
"No records found.","Không có bản ghi nào được tìm thấy."
"No report code specified.","Không có mã báo cáo nào được xác định."
"No search keywords.","Không có từ khóa tìm kiếm."
"No search modules were registered","Không có mô-đun tìm kiếm được đăng ký"
"No wishlist item id defined.","Không có ID mặt hàng yêu thích nào được xác định."
"None","Không"
"Note:","Ghi chú:"
"Notes","Các ghi chú"
"Notifications","Các thông báo"
"Number of Orders","Số lượng các đơn đặt hàng"
"Number of Uses","Số lượng sử dụng"
"Number of Views","Số lượng lượt xem"
"Number of records:","Số lượng các bản ghi:"
"OAuth Consumers","Các khách hàng OAuth"
"OAuth authorization for admin","Ủy quyền OAuth cho quản trị"
"OAuth authorization simple for admin","Ủy quyền OAuth đơn giản cho quản trị"
"OK","Đồng ý"
"Old rate:","Tỷ giá cũ:"
"One or more media files failed to be synchronized during the media storages syncronization process. Refer to the log file for details.","Một hoặc nhiều tập tin truyền thông không được đồng bộ trong quá trình đồng bộ kho lưu trữ truyền thông. Xem tập tin 'log' để biết thêm chi tiết."
"One or more of the Cache Types are invalidated:","Một hoặc nhiều loại bộ nhớ đệm không hợp lệ:"
"Online Customers","Các khách hàng trực tuyến"
"Only Once (version upgrade)","Chỉ một lần (nâng cấp phiên bản)"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Chỉ nhận các thuộc tính có phạm vi ""Toàn hệ thống"", loại đầu vào ""Thả xuống"" và ""Có"" 'Sử dụng để tạo sản phẩm cấu hình'."
"Only mapped fields","Chỉ các trường được bản đồ hóa"
"Optional","Tùy chọn"
"Options","Các tùy chọn"
"Order","Đơn hàng"
"Order #%s","Đơn hàng: %s"
"Order #%s (%s)","Đơn hàng: %s (%s)"
"Order Created Date","Ngày đặt hàng"
"Order ID","ID đơn hàng"
"Order Totals","Tổng số đơn hàng"
"Order Updated Date","Ngày cập nhật đơn hàng"
"Order Updated Date report is real-time, does not need statistics refreshing.","Báo cáo ngày cập nhật đơn hàng được cập nhật theo thời gian thực, không cần làm mới các bản thống kê."
"Orders","Các đơn hàng"
"Original Magento attribute names in first row:","Các tên thuộc tính STCMeCOM ban đầu nằm ở dòng đầu tiên:"
"Out of stock","Hết hàng"
"PDT (Payment Data Transfer) Only","Chỉ dành cho chuyển giao dữ liệu thanh toán (PDT)"
"Package Extensions","Các tiện ích mở rộng đóng gói"
"Pages","Các trang"
"Parent Product Thumbnail","Hình thu nhỏ sản phẩm gốc"
"Parent Transaction ID","ID giao dịch gốc"
"Passive mode","Cơ chế thụ động"
"Password","Mật khẩu"
"Password Confirmation","Mật khẩu xác nhận"
"Password confirmation must be same as password.","Mật khẩu xác nhận phải giống mật khẩu."
"Password must be at least of %d characters.","Mật khẩu phải có ít nhất %d ký tự."
"Password must include both numeric and alphabetic characters.","Mật khẩu phải bao gồm cả ký tự số và chữ cái."
"Password:","Mật khẩu:"
"Path:","Đường dẫn:"
"PayPal Manager","Quản lý PayPal"
"Payment method instance is not available.","Hiện tại không có phương thức thanh toán."
"Payment method is not available.","Không có phương thức thanh toán."
"Payment method must be specified.","Phương thức thanh toán phải được xác định."
"Pending Reviews","Các nhận xét chờ gửi lên"
"Pending Tags","Các thẻ chờ gán"
"Per Item","Mỗi mặt hàng"
"Per Order","Mỗi đơn hàng"
"Percent","Phần trăm"
"Performed At","Thực hiện ở"
"Period","Thời gian"
"Permanent (301)","(301) Cố định"
"Permissions","Các vai trò"
"Personal Information","Thông tin cá nhân"
"Phone:","Số điện thoại:"
"Please Select","Xin chọn"
"Please confirm site switching. All data that hasn\'t been saved will be lost.","Xin xác nhận việc chuyển đổi trang web. Tất cả các dữ liệu chưa được lưu sẽ bị mất."
"Please enter 6 or more characters.","Xin nhập ít nhất 6 ký tự."
"Please enter a number greater than 0 in this field.","Xin nhập số lớn hơn 0 trong trường này."
"Please enter a valid $ amount. For example $100.00.","Xin nhập số tiền $ hợp lệ. Ví dụ 100 đ."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Xin nhập vào URL hợp lệ. Ví dụ: http://www.example.com or www.example.com"
"Please enter a valid URL. http:// is required","Xin nhập vào URL hợp lệ. Yêu cầu có http://"
"Please enter a valid credit card number.","Xin nhập số thẻ tín dụng hợp lệ."
"Please enter a valid date.","Xin nhập ngày hợp lệ."
"Please enter a valid email address. For example johndoe@domain.com.","Xin nhập địa chỉ thư điện tử hợp lệ. Ví dụ: youremail@domain.com."
"Please enter a valid email.","Xin nhập thư điện tử hợp lệ."
"Please enter a valid number in this field.","Xin nhập số hợp lệ trong trường này."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Xin nhập số điện thoại hợp lệ. Ví dụ: (123) 456-7890 hoặc 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Xin nhập số an sinh xã hội hợp lệ. Ví dụ: 123-45-6789."
"Please enter a valid value from list","Xin nhập giá trị hợp lệ từ danh sách"
"Please enter a valid value, ex: 10,20,30","Xin nhập giá trị hợp lệ. Ví dụ: 10,20,30"
"Please enter a valid zip code.","Xin nhập mã bưu điện hợp lệ."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Xin nhập mã bưu điện hợp lệ. Ví dụ: 90602 hoặc 90602-1234."
"Please enter another credit card number to complete your purchase.","Xin nhập số thẻ tín dụng khác để mua hàng."
"Please enter password","Xin nhập mật khẩu"
"Please enter password to confirm rollback.","Xin nhập mật khẩu để xác nhận khôi phục từ dữ liệu dự phòng."
"Please enter valid password.","Xin nhập mật khẩu hợp lệ."
"Please make sure that all global admin search modules are installed and activated.","Xin chắc chắn rằng tất cả các mô-đun admin tìm kiếm toàn hệ thống đã được cài đặt và được kích hoạt."
"Please make sure that your changes were saved before running the profile.","Xin chắc chắn rằng các thay đổi của Quý khách đã được lưu trước khi chạy hồ sơ này."
"Please make sure your passwords match.","Xin chắc chắn rằng mật khẩu của Quý khách được khớp."
"Please select State/Province.","Xin chọn Bang/ Tỉnh, Thành."
"Please select a customer.","Xin chọn một khách hàng."
"Please select a store.","Xin chọn một cửa hàng."
"Please select an option.","Xin chọn một tùy chọn."
"Please select catalog searches.","Xin chọn tìm kiếm danh mục."
"Please select customer(s).","Xin chọn (các) khách hàng."
"Please select message(s).","Xin chọn (các) tin nhắn."
"Please select one of the above options.","Xin chọn một trong số các tùy chọn trên."
"Please select one of the options.","Xin chọn một trong các tùy chọn."
"Please select review(s).","Xin chọn (các) nhận xét."
"Please select tag(s).","Xin chọn (các) thẻ."
"Please specify backup creation options","Xin xác định các tùy chọn tạo bản sao lưu"
"Please specify the admin custom URL.","Xin xác định URL quản trị tùy chỉnh"
"Please try to logout and sign in again.","Xin đăng xuất và đăng nhập trở lại."
"Please type the letters from the image:","Xin nhập các ký tự từ hình ảnh:"
"Please use in this field only ""a-z,0-9,_"".","Xin chỉ sử dụng ""a-z,0-9,_"" trong trường này."
"Please use letters only (a-z) in this field.","Xin chỉ sử dụng các chữ (a-z) trong trường này."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Xin chỉ sử dụng các số trong trường này. Xin tránh sử dụng các khoảng trống hoặc các ký tự khác như dấu chấm và dấy phảy."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Xin chỉ sử dụng các chữ (a-z hoặc A-Z), các số (0-9) hoặc khoảng trống trong trường này."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Xin chỉ sử dụng các chữ (a-z) hoặc các số (0-9) trong trường này. Không được sử dụng khoảng trống hoặc các ký tự khác."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Xin chỉ sử dụng các chữ (a-z),các số (0-9), khoảng trống và # trong trường này."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Xin sử dụng định dạng ngày: dd/mm/yyyy. Ví dụ: 20/06/2012 thay cho ngày 20 tháng 6 năm 2012."
"Please wait while the indexes are being refreshed.","Xin đợi trong khi các chỉ mục đang được làm mới."
"Please wait, loading...","Xin đợi, đang tải..."
"Please wait...","Xin đợi..."
"Please, add some answers to this poll first.","Trước hết, xin thêm một vài câu trả lời cho bình chọn này"
"Please, select ""Visible in Stores"" for this poll first.","Trước hết, xin chọn hiển thị trong cửa hàng cho bình chọn này"
"Poll Manager","Quản lý bình chọn"
"Polls","Các bình chọn"
"Popular","Phổ biến"
"Position of Watermark for %s","Vị trí ghi dấu bản quyền cho %s"
"Pregenerated product images files.","Các tập tin hình ảnh được tạo trước."
"Prev. month (hold for menu)","Tháng trước (giữ cho thực đơn)"
"Prev. year (hold for menu)","Năm trước (giữ cho thực đơn)"
"Preview","Xem trước"
"Preview Template","Xem trước mẫu"
"Price","Giá"
"Price alert subscription was saved.","Đăng ký báo giá được lưu thành công"
"Price:","Giá:"
"Processed <strong>%s%% %s/%d</strong> records","Bản ghi <strong>%s%% %s/%d</strong> đã được xử lý"
"Product","Sản phẩm"
"Product Name","Tên sản phẩm"
"Product Reviews","Các nhận xét về sản phẩm"
"Product Tax Classes","Các mức thuế sản phẩm"
"Product Thumbnail Itself","Hình thu nhỏ sản phẩm"
"Product is not loaded.","Sản phẩm không được tải."
"Product:","Sản phẩm:"
"Products","Các sản phẩm"
"Products Bestsellers Report","Báo cáo các sản phẩm bán chạy nhất"
"Products Most Viewed Report","Báo cáo các sản phẩm được xem nhiều nhất"
"Products Ordered","Các sản phẩm được đặt hàng"
"Products in Carts","Các sản phẩm trong giỏ hàng"
"Profile Action","Hồ sơ hành động"
"Profile Actions XML","Hồ sơ các hành động XML"
"Profile Direction","Hồ sơ hướng"
"Profile History","Hồ sơ lịch sử"
"Profile Information","Hồ sơ thông tin"
"Profile Name","Hồ sơ tên"
"Profile Payments","Hồ sơ thanh toán"
"Profile Schedule","Hồ sơ lịch trình"
"Profile Wizard","Hồ sơ Wizard"
"Profiles","Các hồ sơ"
"Promo","Khuyến mãi"
"Promotions","Khuyến mãi"
"Purchased Item","Mặt hàng được mua"
"Put store on the maintenance mode while backup creation","Đưa cửa hàng về chế độ bảo trì trong khi tạo bản sao lưu"
"Put store on the maintenance mode while rollback processing","Đưa cửa hàng về chế độ bảo trì trong khi thực hiện khôi phục từ dữ liệu dự phòng (rollback)"
"Quantity","Số lượng"
"Queue Refresh","Làm mới chờ duyệt"
"Queued... Cancel","Đang chờ duyệt... Hủy bỏ"
"REST Roles","Các vai trò REST"
"Radio Buttons","Các nút tùy chọn đơn đối tượng"
"Rates","Các tỷ giá"
"Read details","Xem chi tiết"
"Rebuild","Xây dựng lại"
"Rebuild Catalog Index","Xây dựng lại chỉ mục danh mục"
"Rebuild Flat Catalog Category","Xây dựng lại danh mục nhóm hàng hóa phẳng"
"Rebuild Flat Catalog Product","Xây dựng lại danh mục sản phẩm phẳng"
"Recent Orders","Các đơn hàng gần đây"
"Recent statistics have been updated.","Các thống kê gần đây đã được cập nhật."
"Recurring Profile View","Xem hồ sơ định kỳ"
"Recursive Dir","Thư mục đệ quy"
"Redirect","Chuyển hướng"
"Reference","Tài liệu tham khảo"
"Reference ID","ID tham khảo"
"Refresh","Làm mới"
"Refresh Now*","Làm mới ngay*"
"Refresh Statistics","Làm mới các thống kê"
"Region/State","Khu vực/ Bang"
"Regular Price:","Giá thông thường:"
"Reject","Từ chối"
"Reject token authorization Pop Up for admin","Từ chối thẻ xác thực ủy quyền Pop Up cho quản trị"
"Reject token authorization for admin","Từ chối thẻ xác thực ủy quyền cho quản trị"
"Rejection Of Authorization","Từ chối ủy quyền"
"Release","Phát hành"
"Release Stability","Phát hành ổn định"
"Release Version","Phiên bản phát hành"
"Reload captcha","Làm mới Captcha"
"Remote FTP","FTP từ xa"
"Remove","Loại bỏ"
"Reports","Báo cáo"
"Request Path","Yêu cầu đường dẫn"
"Required","Bắt buộc phải nhập"
"Reset","Làm lại"
"Reset Filter","Lọc lại"
"Reset Password","Đặt lại mật khẩu"
"Reset a Password","Đặt lại mật khẩu"
"Resize","Chỉnh kích thước"
"Resource Access","Tài nguyên truy cập"
"Resources","Các tài nguyên"
"Results","Các kết quả"
"Retrieve Password","Nhận mật khẩu"
"Return Html Version","Trở lại phiên bản HTML"
"Revenue","Doanh thu"
"Reviews","Các nhận xét"
"Reviews and Ratings","Các nhận xét và đánh giá"
"Rewrite Rules","Sao chép các quy tắc"
"Role ID","ID vai trò"
"Role Info","Thông tin vai trò"
"Role Information","Thông tin vai trò"
"Role Name","Tên vai trò"
"Role Resources","Các tài nguyên vai trò"
"Role Users","Vai trò các thành viên"
"Roles","Các vai trò"
"Roles Resources","Các tài nguyên vai trò"
"Rotate CCW","Xoay bên trái"
"Rotate CW","Xoay bên phải"
"Run","Chạy"
"Run Profile","Chạy hồ sơ"
"Run Profile Inside This Window","Chạy hồ sơ trong cửa sổ trình duyệt này"
"Run Profile in Popup","Chạy hồ sơ trong Popup"
"Running... Kill","Đang chạy... Kết thúc"
"SKU","Mã sản phẩm (SKU)"
"SKU:","Mã sản phẩm (SKU):"
"SSL Error: Invalid or self-signed certificate","Lỗi SSL: Chứng nhận tự ký hoặc không hợp lệ"
"Sales","Bán hàng"
"Sales Report","Báo cáo kinh doanh"
"Samples","Các mẫu"
"Save","Lưu"
"Save & Generate","Lưu & Tạo"
"Save Account","Lưu tài khoản"
"Save Cache Settings","Lưu các thiết lập bộ nhớ đệm"
"Save Config","Lưu cấu hình"
"Save Currency Rates","Lưu tỷ giá ngoại tệ"
"Save Profile","Lưu hồ sơ"
"Save Role","Lưu vai trò"
"Save Template","Lưu mẫu"
"Save User","Lưu thành viên"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Search","Tìm kiếm"
"Search Index","Chỉ mục tìm kiếm"
"Search Term","Từ khóa tìm kiếm"
"Search Terms","Các từ khóa tìm kiếm"
"Select","Chọn"
"Select All","Chọn tất cả"
"Select Category","Chọn nhóm sản phẩm"
"Select Date","Chọn ngày"
"Select Range","Chọn phạm vi"
"Select date",""Chọn ngày"
"Selected allowed currency ""%s"" is not available in installed currencies.","Đồng tiền cho phép được chọn ""%s"" không có trong các tiền tệ được cài đặt."
"Selected base currency is not available in installed currencies.","Đồng tiền cơ bản được chọn không có trong các tiền tệ được cài đặt."
"Selected default display currency is not available in allowed currencies.","Đồng tiền hiển thị mặc định được chọn không có trong tiền tệ cho phép."
"Selected default display currency is not available in installed currencies.","Đồng tiền hiển thị mặc định được chọn không có trong tiền tệ được cài đặt."
"Self-assigned roles cannot be deleted.","Không thể xóa các vai trò được hệ thống tạo sẵn."
"Sender","Người gửi"
"Separate Email","Tách riêng thư điện tử"
"Service Settings","Các thiết lập dịch vụ"
"Set up & Customize","Thiết lập và Tùy chỉnh"
"Shipment #%s comment added","Ghi chú lô hàng #%s đã được thêm vào"
"Shipment #%s created",Lô hàng #%s đã được tạo"
"Shipment Comments","Các ghi chú lô hàng"
"Shipment History","Lịch sử lô hàng"
"Shipments","Các lô hàng"
"Shipping","Giao vận"
"Shipping Address","Địa chỉ giao vận"
"Shipping Address: ","Địa chỉ giao vận: "
"Shipping Origin","Xuất xứ giao vận"
"Shipping Price","Phí giao vận"
"Shipping address selection is not applicable","Lựa chọn địa chỉ giao vận không phù hợp"
"Shipping method must be specified.","Phương thức giao vận phải được xác định"
"Shipping method selection is not applicable","Lựa chọn phương thức giao vận không thích hợp"
"Shopping Cart","Giỏ hàng"
"Shopping Cart Price Rules","Các quy tắc giá giỏ hàng"
"Shopping Cart from %s","Giỏ hàng từ %s"
"Show By","Xem theo"
"Show Report For:","Xem báo cáo về:"
"Show Reviews","Xem các nhận xét"
"Sitemap Information","Thông tin Sitemap"
"Size for %s","Kích thước của %s"
"Skip Category Selection","Bỏ qua lựa chọn nhóm hàng hóa"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Một số mặt hàng trong đơn hàng này có kiểu lô hàng và hóa đơn khác. Quý khách chỉ có thể tạo lô hàng sau khi hóa đơn được tạo."
"Some of the ordered items do not exist in the catalog anymore and will be removed if you try to edit the order.","Một số mặt hàng được đặt không còn tồn tại trong danh mục và sẽ được loại bỏ nếu Quý khách cố gắng chỉnh sửa đơn hàng."
"Sorry, this feature is coming soon...","Xin lỗi, tính năng này sẽ sớm ra mắt..."
"Special Price:","Giá đặc biệt:"
"Specific Countries","Các quốc gia được xác định"
"Specified","Được xác định"
"Specified profile does not exist.","Hồ sơ được xác định không còn tồn tại."
"Spreadsheet Name:","Tên bảng:"
"Start Date","Ngày bắt đầu"
"Starting profile execution, please wait...","Bắt đầu thực thi hồ sơ, xin đợi..."
"State/Province:","Bang/ Tỉnh, Thành:"
"Static Blocks","Các khối tĩnh"
"Status","Trạng thái"
"Status:","Trạng thái:"
"Stock Quantity:","Số lượng trong kho:"
"Stock notification was saved.","Thông báo kho được lưu thành công."
"Store","Cửa hàng"
"Store Email Addresses Section","Phần địa chỉ thư điện tử cửa hàng"
"Store View","Không gian cửa hàng"
"Store:","Cửa hàng:"
"Stores","Các cửa hàng"
"Subject","Tiêu đề"
"Submit","Gửi"
"Subpackage cannot be conflicting.","Gói con không thể xung đột"
"Subtotal","Tổng số phụ"
"Switch/Solo/Maestro Only","Chỉ chấp nhận Switch/Solo/Maestro"
"Symbol","Biểu tượng"
"Synchronization is required.","Yêu cầu đồng bộ."
"Synchronization of media storages has been successfully completed.","Đồng bộ các kho lưu trữ truyền thông đã được hoàn thành."
"Synchronize","Đồng bộ"
"Synchronizing %s to %s","Đồng bộ %s với %s"
"Synchronizing...","Đang đồng bộ..."
"System","Hệ thống"
"System Section","Hệ thống"
"System busy","Hệ thống đang bận"
"Tags","Các thẻ"
"Target Path","Đường dẫn đích"
"Tax","Thuế"
"Tb","Tb"
"Template","Mẫu"
"Template Content","Nội dung mẫu"
"Template Information","Thông tin mẫu"
"Template Name","Tên mẫu"
"Template Styles","Các loại mẫu"
"Template Subject","Tiêu đề mẫu"
"Template Type","Loại mẫu"
"Temporary (302)","(302) Tạm thời"
"Terms and Conditions","Các điều khoản và điều kiện"
"Text","Văn bản"
"The Catalog Rewrites were refreshed.","Sao chép danh mục đã được làm mới."
"The CatalogInventory Stock Status has been rebuilt.","Trạng thái danh mục sản phẩm tồn kho đã được xây dựng lại."
"The Comment Text field cannot be empty.","Trường văn bản bình luận không thể để trống."
"The Flat Catalog Product was rebuilt","Danh mục sản phẩm phẳng đã được xây dựng lại"
"The JavaScript/CSS cache has been cleaned.","Bộ nhớ đệm JavaScript/CSS đã được làm sạch."
"The JavaScript/CSS cache has been cleared.","Bộ nhớ đệm JavaScript/CSS đã được xóa."
"The Layered Navigation indexing has been queued.","Chỉ mục điều hướng phân lớp đã được xếp hàng."
"The Layered Navigation indexing queue has been canceled.","Chờ duyệt chỉ mục điều hướng phân lớp đã được hủy."
"The Layered Navigation indices were refreshed.","Chỉ mục điều hướng phân lớp đã được làm mới."
"The Layered Navigation process has been queued to be killed.","Chỉ mục điều hướng phân lớp được xếp hàng đã được kết thúc."
"The Magento cache storage has been flushed.","Kho lưu trữ bộ nhớ đệm STCMeCOM đã được xóa."
"The URL Rewrite has been deleted.","Sao chép URL đã được xóa."
"The URL Rewrite has been saved.","Sao chép URL đã được lưu."
"The account has been saved.","Tài khoản đã được lưu."
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","Tập tin lưu trữ có thể được giải nén với <a href=""%s"">%s</a> trong hệ thống Windows"
"The attribute set has been removed.","Nhóm thuộc tính này đã được loại bỏ."
"The backup's creation process will take time.","Quá trình tạo bản sao lưu sẽ mất thời gian."
"The billing agreement has been canceled.","Thỏa thuận thanh toán đã được hủy."
"The billing agreement has been deleted.","Thỏa thuận thanh toán đã được xóa."
"The cache storage has been flushed.","Kho lưu trữ bộ nhớ đệm đã được xóa."
"The carrier needs to be specified.","Nhà cung cấp cần được xác định."
"The catalog index has been rebuilt.","Chỉ mục danh mục đã được xây dựng lại."
"The catalog rewrites have been refreshed.","Sao chép danh mục đã được làm mới."
"The configuration has been saved.","Cấu hình đã được lưu."
"The credit memo has been canceled.","Bản ghi tín dụng đã được hủy."
"The credit memo has been created.","Bản ghi tín dụng đã được tạo."
"The credit memo has been voided.","Bản ghi tín dụng đã hết hiệu lực."
"The custom variable has been deleted.","The custom variable has been deleted."
"The custom variable has been saved.","Biến tùy chỉnh đã được lưu."
"The customer has been deleted.","Khách hàng đã được xóa."
"The customer has been saved.","Khách hàng đã được lưu."
"The design change has been deleted.","Thay đổi thiết kế đã được xóa."
"The design change has been saved.","Thay đổi thiết kế đã được lưu."
"The email address is empty.","Địa chỉ thư điện tử bị bỏ trống."
"The email template has been deleted.","Mẫu thư điện tử đã được xóa."
"The email template has been saved.","Mẫu thư điện tử đã được lưu."
"The flat catalog category has been rebuilt.","Danh mục nhóm sản phẩm phẳng đã được xây dựng lại."
"The group node name must be specified with field node name.","Tên nút nhóm phải được xác định với tên nút trường."
"The image cache was cleaned.","Bộ nhớ đệm hình ảnh đã được làm sạch."
"The image cache was cleared.","Bộ nhớ đệm hình ảnh đã được xóa."
"The invoice and shipment have been created.","Hóa đơn và lô hàng đã được tạo."
"The invoice and the shipment  have been created. The shipping label cannot be created at the moment.","Hóa đơn và lô hàng đã được tạo. Nhãn mua hàng không thể được tạo ra tại thời điểm này."
"The invoice has been canceled.","Hóa đơn đã được hủy."
"The invoice has been captured.","Hóa đơn đã được bắt."
"The invoice has been created.","Hóa đơn đã được tạo."
"The invoice has been voided.","Hóa đơn đã hết hiệu lực."
"The invoice no longer exists.","Hóa đơn không còn tồn tại."
"The item %s (SKU %s) does not exist in the catalog anymore.","Mặt hàng %s (SKU %s) không còn tồn tại trong danh mục hàng hóa."
"The order does not allow creating an invoice.","Đơn hàng này không cho phép tạo hóa đơn."
"The order no longer exists.","Đơn hàng không còn tồn tại."
"The poll has been deleted.","Bình chọn đã được xóa."
"The poll has been saved.","Bình chọn đã được lưu."
"The profile has been deleted.","Hồ sơ đã được xóa."
"The profile has been saved.","Hồ sơ đã được lưu."
"The profile has been updated.","Hồ sơ đã được cập nhật."
"The profile has no changes.","Không có thay đổi nào trong hồ sơ."
"The profile you are trying to save no longer exists","Hồ sơ Quý khách muốn lưu không còn tồn tại"
"The rating has been deleted.","Đánh giá đã được xóa."
"The rating has been saved.","Đánh giá đã được lưu."
"The role has been deleted.","Vai trò đã được xóa."
"The role has been saved.","Vai trò đã được lưu."
"The role has been successfully saved.","Vai trò đã được lưu thành công."
"The search index has been rebuilt.","Chỉ mục tìm kiếm đã được xây dựng lại."
