//Được dịch bởi Nguyễn Thái Sơn, STC
//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com
//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7

"# of Use","# được sử dụng"
"%1$s incl tax.","%1$s bao gồm thuế."
"%s - %s","%s - %s"
"%s Item(s)","Các mặt hàng %s"
"%s and above","%s và bên trên"
"Please enter a new group name","Xin nhập tên nhóm mới"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Xin làm mới ""Danh mục sao chép URL"" và ""Các thuộc tính sản phẩm"" trong Hệ thống -> <a href=""%s"">Quản lý chỉ mục</a>"
"Please select a static block ...","Xin chọn khối tĩnh ..."
"Please select items.","Xin chọn các mặt hàng."
"Please select one or more attributes.","Xin chọn một hoặc nhiều thuộc tính."
"Please select product(s).","Xin chọn (các) sản phẩm."
"Please select products for attributes update","Xin chọn các sản phẩm để cập nhật thuộc tính"
"Please specify date required option(s).","Xin xác định ngày (các) tùy chọn yêu cầu."
"Please specify the number of products, that will not be divided into subintervals.","Xin xác định số lượng sản phẩm không được chia thành các khoảng con."
"Please specify the product required option(s)","Xin xác định (các) tùy chọn sản phẩm"
"Please specify the product required option(s).","Xin xác định (các) tùy chọn sản phẩm."
"Please specify the product\'s option(s).","Xin xác định (các) tùy chọn của sản phẩm."
"Please specify the product\'s required option(s).","Xin xác định (các) tùy chọn yêu cầu của sản phẩm."
"Please specify the quantity of product(s).","Xin xác định số lượng (các) sản phẩm."
"Please specify time required option(s).","Xin xác định thời gian (các) tùy chọn yêu cầu."
"Please wait...","Xin chọn..."
"Position","Vị trí"
"Position in Layered Navigation","Vị trí trong điều hướng phân lớp"
"Position of attribute in layered navigation block","Vị trí của thuộc tính trong khối điều hướng phân lớp"
"Prev","Trang trước"
"Previous","Trang trước"
"Price","Giá"
"Price Navigation Step Calculation","Tính toán bước điều hướng giá"
"Price Type","Loại giá"
"Price is not available","Không nhận được giá"
"Price values for options should be specified in system base currency.","Các giá trị giá cả cho các tùy chọn này cần được xác định trong hệ thống đồng tiền cơ bản."
"Price:","Giá:"
"Price: %s","Giá: %s"
"Print This Page","In trang này"
"Product","Sản phẩm"
"Product API","API sản phẩm"
"Product Alerts","Các cảnh báo sản phẩm"
"Product Attribute","Thuộc tính sản phẩm"
"Product Attributes","Các thuộc tính sản phẩm"
"Product Categories","Các nhóm sản phẩm"
"Product Description","Mô tả sản phẩm"
"Product Extra Info","Thông tin thêm sản phẩm"
"Product Flat Data","Dữ liệu phẳng sản phẩm"
"Product ID","ID sản phẩm"
"Product Image Placeholders","Nơi lưu giữ hình ảnh sản phẩm"
"Product Image Watermarks","Ghi dấu bản quyền hình ảnh sản phẩm"
"Product Images","Các hình ảnh sản phẩm"
"Product Images API","API các hình ảnh sản phẩm"
"Product In Websites","Sản phẩm trong các website"
"Product Info Column","Cột thông tin sản phẩm"
"Product Information","Thông tin sản phẩm"
"Product Link Block Template","Mẫu khối liên kết sản phẩm"
"Product Link Inline Template","Mẫu nội tuyến liên kết sản phẩm"
"Product Listing Sort by","Sản phẩm liệt kê theo"
"Product Name","Tên sản phẩm"
"Product Prices","Các giá sản phẩm"
"Product Reviews","Các nhận xét sản phẩm"
"Product Tags","Các thẻ sản phẩm"
"Product Tier Price API","API các mức giá sản phẩm"
"Product Type","Loại sản phẩm"
"Product URL Suffix","Phụ tố URL sản phẩm"
"Product View Extra Hint","Gợi ý thêm xem sản phẩm"
"Product attribute sets API","API các nhóm thuộc tính sản phẩm"
"Product attributes API","API các thuộc tính sản phẩm"
"Product collection expected.","Tập hợp sản phẩm dự kiến."
"Product is not loaded","Sản phẩm không được tải"
"Product links API (related, cross sells, up sells)","API các liên kết sản phẩm (sản phẩm liên quan, bán sản phẩm cùng loại có giá trị cao hơn - up sell, bán thêm sản phẩm liên quan - cross sell)"
"Product name","Tên sản phẩm"
"Product types API","API các loại sản phẩm"
"Product with this combination of attributes already associated to configurable.","Sản phẩm có sự kết hợp các thuộc tính này đã được gắn liền sản phẩm cấu hình."
"Products","Các sản phẩm"
"Products Comparison List","Danh sách so sánh sản phẩm"
"Products Information","Thông tin các sản phẩm"
"Products Reviews","Nhận xét các sản phẩm"
"Products Sitemap","Sitemap các sản phẩm"
"Products only","Chỉ có các sản phẩm"
"Products per Page on Grid Allowed Values","Các giá trị cho phép, các sản phẩm được sắp xếp theo dạng lưới trên mỗi trang"
"Products per Page on Grid Default Value","Mặc định, các sản phẩm được sắp xếp theo dạng lưới trên mỗi trang"
"Products per Page on List Allowed Values","Các giá trị cho phép, các sản phẩm được sắp xếp theo dạng danh sách trên mỗi trang"
"Products per Page on List Default Value","Mặc định, các sản phẩm được sắp xếp theo dạng danh sách trên mỗi trang"
"Properties","Các đặc điểm"
"Qty","Số lượng"
"Qty Increments","Tăng số lượng"
"Qty Uses Decimals","Số lượng sử dụng các số thập phân"
"Qty for Item\'s Status to Become Out of Stock","Số lượng cho các mặt hàng để có trạng thái hết hàng"
"Qty:","Số lượng:"
"Quantity","Số lượng"
"Quick Create","Tạo nhanh"
"Quick Overview","Xem nhanh"
"Quick simple product creation","Nhanh chóng tạo sản phẩm đơn giản"
"Records for ""","Bản ghi cho "
"Redirect","Chuyển hướng"
"Redirect URL","URL chuyển hướng"
"Regular Price:","Giá thông thường:"
"Related Products","Các sản phẩm liên quan"
"Remove","Loại bỏ"
"Remove Product From Websites","Loại bỏ sản phẩm khỏi các website"
"Remove This Item","Loại bỏ mặt hàng này"
"Remove attribute from attribute set","Loại bỏ thuộc tính khỏi nhóm thuộc tính"
"Remove attribute set","Loại bỏ nhóm thuộc tính"
"Remove custom option","Loại bỏ tùy chọn tùy chỉnh"
"Remove group from attribute set","Loại bỏ nhóm khỏi nhóm thuộc tính"
"Remove option","Loại bỏ tùy chọn"
"Remove product assignment","Loại bỏ việc gán sản phẩm"
"Remove product image","Loại bỏ hình ảnh sản phẩm"
"Remove product link","Loại bỏ liên kết sản phẩm"
"Remove value from custom option","Loại bỏ giá trị khỏi tùy chọn tùy chỉnh"
"Rename existing group","Đổi tên nhóm hiện có"
"Rename group","Đổi tên nhóm"
"Reorganize EAV category structure to flat structure","Tổ chức lại cấu trúc nhóm sản phẩm để làm phẳng cấu trúc"
"Reorganize EAV product structure to flat structure","Tổ chức lại cấu trúc sản phẩm để làm phẳng cấu trúc"
"Reset","Làm lại"
"Results","Các kết quả"
"Retrieve attribute data","Dữ liệu thuộc tính nhận được"
"Retrieve attribute list","Danh sách thuộc tính nhận được"
"Retrieve attribute options","Các tùy chọn thuộc tính nhận được"
"Retrieve categories tree","Cây nhóm sản phẩm nhận được"
"Retrieve category attributes","Các thuộc tính nhóm sản phẩm nhận được"
"Retrieve category data","Dữ liệu nhóm sản phẩm nhận được"
"Retrieve hierarchical tree","Cây phân cấp nhận được"
"Retrieve linked products","Các sản phẩm được liên kết nhận được"
"Retrieve list of assigned products","Danh sách các sản phẩm được gán nhận được"
"Retrieve list of option values","Danh sách các giá trị tùy chọn nhận được"
"Retrieve list of product custom options","Danh sách các tùy chọn tùy chỉnh sản phẩm nhận được"
"Retrieve one level of categories by website/store view/parent category","Các nhóm sản phẩm một cấp nhận được từ website/ không gian cửa hàng/ nhóm sản phẩm gốc"
"Retrieve option value info","Thông tin giá trị tùy chọn nhận được"
"Retrieve product","Sản phẩm nhận được"
"Retrieve product attribute sets","Các nhóm thuộc tính sản phẩm nhận được"
"Retrieve product image","Hình ảnh sản phẩm nhận được"
"Retrieve product image list","Danh sách hình ảnh nhận được"
"Retrieve product image types","Các loại hình ảnh sản phẩm nhận được"
"Retrieve product link type attributes","Các thuộc tính kiểu liên kết sản phẩm nhận được"
"Retrieve product link types","Các loại liên kết sản phẩm nhận được"
"Retrieve product tier prices","Các mức giá sản phẩm nhận được"
"Retrieve product types","Các loại sản phẩm nhận được"
"Retrieve products data","Dữ liệu sản phẩm nhận được"
"Retrieve products list by filters","Danh sách các sản phẩm nhận được qua bộ lọc"
"Reviews","Các nhận xét"
"Roll Over for preview","Cuộn lên để xem trước"
"Root","Gốc"
"SKU","Mã sản phẩm"
"SKU length should be %s characters maximum.","Mã sản phẩm nên có tối đa %s ký tự."
"Save","Lưu"
"Save Attribute","Lưu thuộc tính"
"Save Attribute Set","Lưu nhóm thuộc tính"
"Save Category","Lưu nhóm sản phẩm"
"Save Search","Lưu tìm kiếm"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Saved %d record(s)","(Các) bản ghi %d đã được lưu"
"Scope","Phạm vi"
"Scope must not be changed, because the attribute is used in configurable products.","Phạm vi không được thay đổi, bởi vì thuộc tính được sử dụng trong các sản phẩm cấu hình."
"Search","Tìm kiếm"
"Search Engine Optimizations","Tối ưu bộ máy tìm kiếm"
"Search Information","Thông tin tìm kiếm"
"Search Query","Truy vấn tìm kiếm"
"Search Term with such search query already exists.","Đã có từ khóa tìm kiếm với truy vấn tìm kiếm như vậy."
"Searchable","Có thể tìm kiếm"
"See price before order confirmation.","Xem giá trước khi xác nhận đặt hàng."
"Select Category...","Chọn nhóm sản phẩm..."
"Select Configurable Attributes ","Chọn các thuộc tính cấu hình "
"Select Product...","Chọn sản phẩm..."
"Select type of option","Chọn loại tùy chọn"
"Select type options required values rows.","Chọn các loại tùy chọn yêu cầu các dòng giá trị."
"Selected Product Types","Các loại sản phẩm được chọn"
"Selected configuration is not available.","Không nhận được cấu hình được chọn."
"Send Count","Số lượng gửi"
"Set Ascending Direction","Sắp xếp theo hướng tăng dần"
"Set Descending Direction","Sắp xếp theo hướng giảm dần"
"Set Name","Đặt tên"
"Set Root Category for Store","Thiết lập nhóm sản phẩm gốc cho cửa hàng"
"Set root category for this store in the <a href=""%s"">configuration</a>","Thiết lập nhóm sản phẩm gốc cho cửa hàng này trong <a href=""%s"">cấu hình</a>"
"Set special price","Đặt giá đặc biệt"
"Set/Get current store view","Thiết lập/ Nhận không gian cửa hàng hiện tại"
"Settings","Các thiết lập"
"Shop By","Mua sắm theo"
"Shopping Options","Tùy chọn mua sắm"
"Show","Xem"
"Show Details","Xem chi tiết"
"Show Tags","Hiển thị các thẻ"
"Simple Product","Sản phẩm đơn giản"
"Site Map","Sitemap"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Bỏ qua dòng nhập vào, giá trị ""%s"" cho trường ""%s"" không hợp lệ"
"Skip import row, required field ""%s"" for the new customer is not defined.","Bỏ qua dòng nhập vào, trường được yêu cầu ""%s"" cho khách hàng mới không được xác định"
"Skip import row, the value ""%s"" is invalid for field ""%s""","Bỏ qua dòng nhập vào, giá trị ""%s"" cho trường ""%s"" không hợp lệ"
"Skipping import row, required field ""%s"" for new products is not defined.","Bỏ qua dòng nhập vào, trường được yêu cầu ""%s"" cho các sản phẩm mới không được xác định"
"Skipping import row, required field ""%s"" is not defined.","Skipping import row, required field ""%s"" is not defined."
"Skipping import row, store ""%s"" field does not exist.","Skipping import row, store ""%s"" field does not exist."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Bỏ qua dòng nhập vào, giá trị ""%s"" cho trường ""%s"" không hợp lệ"
"Skip import row, store ""%s"" field not exists","Bỏ qua dòng nhập vào, trường cửa hàng ""%s"" không tồn tại" //Thêm dòng này
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Một số sản phẩm giao dịch không xác định được mã sản phẩm. Xin nhập vào nó trước khi thực hiện các hoạt động trên các sản phẩm này."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Một số sản phẩm dưới đây không có các tùy chọn yêu cầu. Xin chỉnh sửa chúng và cấu hình tất cả các tùy chọn yêu cầu."
"Sort By","Sắp xếp theo"
"Sort Order","Thứ tự sắp xếp"
"Source Model","Mô hình nguồn"
"Special Expires On: %s","Đặc biệt hết hạn vào: %s"
"Special Price:","Giá đặc biệt:"
"Special Price: %s","Giá đặc biệt: %s"
"Starting at:","Bắt đầu từ:"
"Static","Tĩnh"
"Static block and products","Các sản phẩm và khối tĩnh"
"Static block only","Chỉ cho phép khối tĩnh"
"Status","Trạng thái"
"Stock Availability","Trạng thái kho hàng"
"Store","Cửa hàng"
"Store View","Không gian cửa hàng"
"Stretch","Kéo ra"
"Subscribe to RSS Feed","Đăng ký nhận RSS Feed"
"Super product attributes configuration","Cấu hình các thuộc tính siêu sản phẩm"
"Synonym For","Đồng nghĩa với"
"System Properties","Các đặc điểm hệ thống"
"Tag Name","Tên thẻ"
"Tax","Thuế"
"Template","Mẫu"
"Text","Văn bản"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","Các mô-đun danh mục phẳng giới hạn có %2\$d thuộc tính có thể sắp xếp và/hoặc có thể lọc. Giới hạn hiện nay là %1\$d. Xin giảm số lượng các thuộc tính có thể sắp xếp/ có thể lọc để sử dụng mô-đun này."
"The attribute model is not defined","Mô hình thuộc tính không được xác định"
"The attribute set has been saved.","Nhóm thuộc tính đã được lưu."
"The base directory to upload file is not specified.","Thư mục cơ sở để tải tập tin lên không được xác định."
"The category has been deleted.","Nhóm sản phẩm đã được xóa."
"The category has been saved.","Nhóm sản phẩm đã được lưu."
"The comparison list was cleared.","Danh sách so sánh đã được xóa."
"The file '%s' for '%s' has an invalid extension","Tập tin '%s' cho '%s' có phần mở rộng không hợp lệ"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","Máy chủ cho phép Quý khách tải lên tập tin '%s' lớn hơn %s Megabytes"
"The file you uploaded is larger than %s Megabytes allowed by server","Máy chủ cho phép Quý khách tải lên tập tin lớn hơn %s Megabytes"
"The filters must be an array.","Các bộ lọc phải là một mảng."
"The image contents is not valid base64 data.","Hình ảnh có kiểu dữ liệu base64 không hợp lệ."
"The image is not specified.","Hình ảnh không được xác định."
"The model collection resource name is not defined.","Tên tài nguyên tập hợp mô hình không được xác định."
"The product %s has been added to comparison list.","Sản phẩm %s đã được thêm vào danh sách so sánh."
"The product %s has been removed from comparison list.","Sản phẩm %s đã được loại khỏi danh sách so sánh."
"The product attribute has been deleted.","Thuộc tính sản phẩm đã được xóa."
"The product attribute has been saved.","Thuộc tính sản phẩm đã được lưu."
"The product has been created.","Sản phẩm đã được tạo."
"The product has been deleted.","Sản phẩm đã được xóa."
"The product has been duplicated.","Sản phẩm đã được nhân bản."
"The product has been saved.","Sản phẩm đã được lưu."
"The product has required options","Sản phẩm có các tùy chọn yêu cầu"
"The review has been deleted","Nhận xét đã được xóa"
"The review has been saved.","Nhận xét đã được lưu."
"The review was removed by another user or does not exist.","Nhận xét đã được loại bỏ bởi thành viên khác hoặc không tồn tại."
"The search was deleted.","Tìm kiếm đã được xóa."
"The text is too long","Văn bản quá dài"
"There are no %s available.","Không nhận được %s."
"There are no customers for this alert","Không có khách hàng nào cho cảnh báo này"
"There are no customers for this alert.","Không có khách hàng nào cho cảnh báo này."
"There are no products matching the selection.","Không có sản phẩm nào phù hợp với lựa chọn."
"There was an error while request processing.","Lỗi trong quá trình yêu cầu."
"This Attribute no longer exists","Không tồn tại thuộc tính này"
"This attribute cannot be deleted.","Không thể xóa thuộc tính này."
"This attribute cannot be edited.","Không thể chỉnh sửa thuộc tính này."
"This attribute cannot be updated.","Không thể cập nhật thuộc tính này."
"This attribute is used in configurable products.","Thuộc tính này được sử dụng trong các sản phẩm cấu hình."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Thuộc tính này được sử dụng trong các sản phẩm cấu hình. Quý khách không thể loại nó khỏi nhóm thuộc tính"
"This attribute no longer exists","Không tồn tại thuộc tính này"
"This attribute set no longer exists.",""Không tồn tại nhóm thuộc tính này."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Nhóm này chứa các thuộc tính được sử dụng trong các sản phẩm cấu hình. Xin di chuyển các thuộc tính này sang nhóm khác và thử lại."
"This group contains system attributes. Please move system attributes to another group and try again.","Nhóm này chứa các thuộc tính hệ thống. Xin di chuyển các thuộc tính hệ thống sang nhóm khác và thử lại."
"This is a required option","Đây là tùy chọn yêu cầu"
"This product no longer exists.","Không tồn tại sản phẩm này."
"This search no longer exists.","Không tồn tại tìm kiếm này."
"This setting will be applied when all prices in the specific price interval are equal.","Thiết lập này sẽ được áp dụng khi tất cả các giá trong khoảng giá đặc biệt bằng nhau."
"Tier Pricing","Mức giá"
"Tile","Ngói"
"Time Format","Định dạng thời gian"
"Title","Tiêu đề"
"To reindex the enabled product(s), the store or product must be specified","Để lập lại chỉ mục (các) sản phẩm đã được kích hoạt, phải xác định cửa hàng hoặc sản phẩm"
"To see product price, add this item to your cart. You can always remove it later.","Để xem giá sản phẩm, thêm mặt hàng này vào giỏ hàng của Quý khách. Quý khách luôn có thể loại bỏ nó sau này."
"Top/Left","Trên/Trái"
"Top/Right","Trên/Phải"
"Total Qty Base Items","Tổng số lượng mặt hàng cơ bản"
"Total incl. Tax: %1$s","Tổng số bao gồm thuế: %1$s"
"Total of %d record(s) have been deleted.","Tổng số %d bản ghi đã được xóa."
"Total of %d record(s) have been updated.","Tổng số %d bản ghi đã được cập nhật."
"Total of %d record(s) were updated","Tổng số %d bản ghi đã được cập nhật"
"Type","Loại"
"URL Rewrite Management","Quản lý sao chép URL"
"Unable to complete this request.","Không hoàn thành yêu cầu này."
"Unable to find a search term to delete.","Không tìm thấy từ khóa tìm kiếm để xóa."
"Unable to find an attribute to delete.","Không tìm thấy thuộc tính để xóa."
"Unable to get the product ID.","Không nhận được ID sản phẩm."
"Unassigned Attributes","Các thuộc tính chưa gán"
"Unknown EAV indexer type ""%s"".","Loại chỉ mục EAV không xác định ""%s""."
"Unknown attribute: %s.","Thuộc tính không xác định: %s."
"Unsupported product type ""%s"".","Loại sản phẩm không hỗ trợ ""%s""."
"Up-sells","Bán sản phẩm cùng loại có giá trị cao hơn (Up-sells)"
"Update","Cập nhật"
"Update Attributes","Cập nhật các thuộc tính"
"Update Tier Price","Cập nhật mức giá"
"Update assigned product","Cập nhật sản phẩm đã được gán"
"Update attribute","Cập nhật thuộc tính"
"Update attributes","Cập nhật các thuộc tính"
"Update category","Cập nhật nhóm sản phẩm"
"Update custom option of product","Cập nhật tùy chọn tùy chỉnh của sản phẩm"
"Update product","Cập nhật sản phẩm"
"Update product image","Cập nhật hình ảnh sản phẩm"
"Update product link","Cập nhật liên kết sản phẩm"
"Update product tier prices","Cập nhật các mức giá sản phẩm"
"Update value of custom option","Cập nhật giá trị tùy chọn tùy chỉnh"
"Upload new product image ","Tải lên hình ảnh sản phẩm mới "
"Use Canonical Link Meta Tag For Categories","Sử dụng thẻ Meta liên kết chính tắc cho các nhóm sản phẩm"
"Use Canonical Link Meta Tag For Products","Sử dụng thẻ Meta liên kết chính tắc cho các sản phẩm"
"Use Categories Path for Product URLs","Sử dụng đường dẫn nhóm sản phẩm cho các URL sản phẩm"
"Use Config Settings","Sử dụng các thiết lập cấu hình"
"Use Default Value","Sử dụng giá trị mặc định"
"Use Flat Catalog Category","Sử dụng danh mục nhóm hàng hóa phẳng"
"Use Flat Catalog Product","Sử dụng danh mục sản phẩm phẳng"
"Use In Layered Navigation","Sử dụng trong điều hướng phân lớp"
"Use In Search Results Layered Navigation","Sử dụng trong điều hướng phân lớp các kết quả tìm kiếm"
"Use JavaScript Calendar","Sử dụng lịch JavaScript"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Sử dụng các URL tính cho nội dung truyền thông trong WYSIWYG cho danh mục"
"Use To Create Configurable Product","Sử dụng để tạo sản phẩm cấu hình"
"Use Tree Like Category Sitemap","Sử dụng cây như Sitemap danh mục"
"Use config","Sử dụng cấu hình"
"Use default","Sử dụng mặc định"
"Use for Promo Rule Conditions","Sử dụng cho các điều kiện quy tắc khuyến mãi"
"Use four-digit year format.","Sử dụng định dạng năm 4 ký tự (2012)."
"Use in Advanced Search","Sử dụng trong tìm kiếm cao cấp"
"Use in Layered Navigation","Sử dụng trong điều hướng phân lớp"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Sử dụng trong điều hướng phân lớp<br/>(Có thể chỉ sử dụng với danh mục loại đầu vào 'Thả xuống')"
"Use in Quick Search","Sử dụng trong tìm kiếm nhanh"
"Used for Sorting in Product Listing","Sử dụng trong việc sắp xếp liệt kê sản phẩm"
"Used in Product Listing","Sử dụng trong liệt kê sản phẩm"
"Value for ""%s"" is invalid.","Giá trị cho ""%s"" không hợp lệ."
"Value for ""%s"" is invalid: %s","Giá trị cho ""%s"" không hợp lệ: %s"
"Varchar","Varchar"
"View as","Xem với"
"Virtual Product","Sản phẩm ảo"
"Visibility","Khả năng hiển thị"
"Visible","Hiển thị"
"Visible on Catalog Pages on Front-end","Hiển thị trên các trong danh mục trên giao diện khách hàng"
"Visible on Product View Page on Front-end","Hiện thị trên trang xem sản phẩm trên giao diện khách hàng"
"WYSIWYG Editor","Trình soạn thảo WYSIWYG"
"Watermark","Dấu bản quyền"
"Watermark Default Size","Kích thước mặc định dấu bản quyền"
"Watermark Opacity, Percent","Độ mờ dấu bản quyền, phần trăm"
"Watermark Position","Vị trí dấu bản quyền"
"We Also Recommend","Chúng tôi cũng đề nghị"
"Website","Website"
"Websites","Các website"
"What's this?","Đây là gì?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Cho dù để hiển thị tùy ""Tất cả"" trong thư mục thả xuống ""Hiển thị X mỗi trang""."
"Will make search for the query above return results for this search.","Sẽ thực hiện tìm kiếm cho truy vấn trên trả lại các kết quả cho tìm kiếm này."
"Wrong BuyRequest instance in options group.","Sai yêu cầu mua hàng thể hiện trong nhóm các tùy chọn."
"Wrong configuration item instance in options group.","Sai cấu hình mặt hàng thể hiện trong nhóm các tùy chọn."
"Wrong configuration item option instance in options group.","Sai tùy chọn cấu hình mặt hàng thể hiện trong nhóm các tùy chọn."
"Wrong option instance type in options group.","Sai loại đối tượng tùy chọn trong nhóm tùy chọn."
"Wrong option type to get group instance.","Sai loại tùy chọn để nhận đối tượng nhóm."
"Wrong product instance type in options group.","Sai loại đối tượng sản phẩm trong nhóm các tùy chọn."
"Wrong product type filter specified","Sai bộ lọc loại sản phẩm được xác định"
"Wrong product type to extract configurable options.","Sai loại sản phẩm để trích xuất các tùy chọn cấu hình."
"Year Range","Phạm vi năm"
"Yes","Có"
"You cannot remove system attribute from this set.","Quý khách không thể loại bỏ thuộc tính hệ thống khỏi nhóm này."
"You have no items to compare.","Quý khách không có mặt hàng nào để so sánh."
"You may also be interested in the following product(s)","Quý khách cũng có thể quan tâm đến (các) sản phẩm sau"
"Zoom In","Phóng to"
"Zoom Out","Thu nhỏ"
"and","và"
"and above","và bên trên"
"categories","các nhóm sản phẩm"
"each","mỗi"
"ex. http://domain.com","ví dụ: http://domain.com"
"leave blank if its not an image","để trống nếu không phải hình ảnh"
"per page","mỗi trang"
"products","các sản phẩm"
"px.","px."
"save","lưu"
"select all","chọn tất cả"
"unselect all","bỏ chọn tất cả"
"x","x"
